step,energy,beta,lambda,delta
0,5230.43,0.00138262,1,3.14
1,3847.25,0.00167876,0.98311,3.14
2,7853.27,0.00167566,0.982198,3.14
3,5660.75,0.00198534,0.990045,3.14
4,9211.94,0.00190231,0.998635,3.14
5,5049.18,0.00149846,1.01052,3.14
6,6759.77,0.00230143,1.02207,3.14
7,9360.75,0.00358268,1.03544,3.14
8,4644.16,0.00276206,1.04976,3.14
9,11516.2,0.00332014,1.06394,3.14
10,7534.14,0.00237953,1.07911,3.14
11,6406.7,0.00159393,1.09379,3.14
12,3872.57,0.00151394,1.10984,3.14
13,11663.8,0.00269556,1.12629,3.14
14,10027.9,0.00240322,1.14266,3.14
15,12322.6,0.00475026,1.16008,3.14
16,11034.3,0.00318989,1.17771,3.14
17,5235.42,0.00192717,1.19588,3.14
18,9391.9,0.00356291,1.21408,3.14
19,6755.34,0.00175936,1.233,3.14
20,10511.2,0.00426781,1.25227,3.14
21,7408.24,0.0016964,1.27179,3.14
22,7673.34,0.00143907,1.29185,3.14
23,9300.45,0.00427508,1.3123,3.14
24,8712.71,0.00235206,1.33341,3.14
25,6297.86,0.00186541,1.35467,3.14
26,7277.89,0.00369442,1.37646,3.14
27,11922.6,0.00280546,1.39846,3.14
28,7345.47,0.00170982,1.42094,3.14
29,11165.1,0.00319953,1.44394,3.14
30,5367.41,0.00137047,1.46713,3.14
31,5008.7,0.0022007,1.49091,3.14
32,5834.28,0.00155465,1.51514,3.14
33,13016.5,0.00291462,1.54001,3.14
34,9767.04,0.00217266,1.56499,3.14
35,8716.18,0.00303331,1.5905,3.14
36,5859.11,0.00385225,1.61632,3.14
37,12144.6,0.00334073,1.64285,3.14
38,12031.4,0.00246359,1.66964,3.14
39,6115.96,0.00160497,1.69693,3.14
40,8675.24,0.00261604,1.72468,3.14
41,4965.15,0.00162122,1.75272,3.14
42,8306.47,0.00178729,1.78161,3.14
43,9719.68,0.00410744,1.81075,3.14
44,7484.84,0.00368764,1.84048,3.14
45,6877.58,0.00173776,1.87077,3.14
46,11993.5,0.00220341,1.90152,3.14
47,8928.22,0.00314662,1.9328,3.14
48,2899.68,0.00151101,1.96464,3.14
49,11007.2,0.00168953,1.99704,3.14
50,3397.47,0.00307803,2.02991,3.14
51,6787.59,0.00227842,2.06334,3.14
52,9386.78,0.00181967,2.09736,3.14
53,8922.62,0.00182718,2.13212,3.14
54,8722.02,0.00264701,2.1675,3.14
55,5572.83,0.00175533,2.20336,3.14
56,9647.08,0.00362868,2.23994,3.14
57,5601.88,0.00224383,2.27714,3.14
58,3755.13,0.00157858,2.31478,3.14
59,6440.75,0.00143448,2.35325,3.14
60,4102.11,0.00205122,2.3927,3.14
61,13096.5,0.00270968,2.43265,3.14
62,9980.9,0.00174328,2.47313,3.14
63,8963.09,0.00244759,2.51429,3.14
64,10312.5,0.00313098,2.5561,3.14
65,6066.4,0.00164357,2.59851,3.14
66,6639.37,0.00193777,2.64163,3.14
67,7140.61,0.00156249,2.6857,3.14
68,8218.57,0.00274131,2.73039,3.14
69,6066.58,0.00217005,2.7759,3.14
70,7291.53,0.00143376,2.82219,3.14
71,7653.02,0.00186906,2.86915,3.14
72,7648.3,0.00274604,2.91696,3.14
73,9748.36,0.00177895,2.96531,3.14
74,9765.41,0.00332492,3.01475,3.14
75,11944.5,0.00520364,3.0648,3.14
76,12017.7,0.00262537,3.11576,3.14
77,9118.82,0.00333692,3.1677,3.14
78,5812.57,0.00185397,3.22055,3.14
79,9241.01,0.0019643,3.27445,3.14
80,7980.43,0.00179277,3.32914,3.14
81,7603.85,0.00147501,3.38481,3.14
82,4837.28,0.00161541,3.4415,3.14
83,9488.02,0.00218532,3.49903,3.14
84,8616.51,0.00244475,3.55764,3.14
85,8254.75,0.00253764,3.61725,3.14
86,8496.04,0.00212166,3.67796,3.14
87,8460.79,0.00239126,3.73955,3.14
88,10272.3,0.00296846,3.80222,3.14
89,9331.57,0.0015826,3.86569,3.14
90,9773.61,0.00185832,3.93029,3.14
91,7802.67,0.00176459,3.99626,3.14
92,7669.7,0.00252739,4.06317,3.14
93,9464.11,0.0048901,4.13143,3.14
94,4575.5,0.00193408,4.20072,3.14
95,10545.5,0.00247327,4.27095,3.14
96,7967.71,0.00251432,4.34233,3.14
97,10569.2,0.00298567,4.41499,3.14
98,11780.3,0.00294924,4.48886,3.14
99,11090.6,0.00281457,4.56402,3.14
100,7272.11,0.00267539,4.6407,3.14
101,7142.85,0.00174433,4.71839,3.14
102,8270.89,0.00357916,4.79741,3.14
103,9306.6,0.00198154,4.87784,3.14
104,10266.6,0.00185341,4.95963,3.14
105,8002.99,0.00353654,5.04291,3.14
106,8520.53,0.00265151,5.12759,3.14
107,7966.38,0.0017113,5.21372,3.14
108,7848.89,0.0023562,5.30116,3.14
109,8550.35,0.00228775,5.39,3.14
110,10638.2,0.00159515,5.48056,3.14
111,8461.57,0.00351211,5.57261,3.14
112,6725.11,0.00182281,5.66619,3.14
113,8073.98,0.00161577,5.76128,3.14
114,10285.8,0.00162556,5.85786,3.14
115,7004.56,0.00258892,5.95633,3.14
116,10025.9,0.00183125,6.05627,3.14
117,9491.41,0.00204798,6.15782,3.14
118,7953.7,0.00254345,6.26106,3.14
119,7945.58,0.00121968,6.36611,3.14
120,10769.6,0.00287487,6.47296,3.14
121,8671.84,0.00313584,6.58154,3.14
122,9494.22,0.00237369,6.69192,3.14
123,11442,0.0037808,6.80417,3.14
124,8696.6,0.00125575,6.91851,3.14
125,10194.7,0.00729092,7.035,3.14
126,8620.67,0.00227685,7.1534,3.14
127,5644.62,0.00312867,7.27375,3.14
128,5781.4,0.00218354,7.39616,3.14
129,11153,0.00425316,7.52051,3.14
130,8239.86,0.00244632,7.64703,3.14
131,10069.7,0.00244555,7.77579,3.14
132,3453.05,0.0023059,7.90684,3.14
133,7685.36,0.00235623,8.03972,3.14
134,2874.4,0.00130322,8.17504,3.14
135,5677.8,0.00196073,8.3127,3.14
136,9307.04,0.00224863,8.45243,3.14
137,10788.5,0.00380576,8.59451,3.14
138,9867.5,0.00163369,8.73894,3.14
139,10334.4,0.00220468,8.88586,3.14
140,4288.99,0.00215149,9.03536,3.14
141,4314.66,0.00165402,9.18769,3.14
142,7854.53,0.00272256,9.34254,3.14
143,1097.34,0.00115225,9.50021,3.14
144,6317.75,0.00293757,9.66045,3.14
145,4445.6,0.00211334,9.82325,3.14
146,5488.37,0.00112392,9.98886,3.14
147,9821.77,0.00502956,10.1571,3.14
148,5333.4,0.00292837,10.3284,3.14
149,6689.82,0.0018102,10.5026,3.14
150,7057.33,0.00256747,10.6798,3.14
151,5469.41,0.00152166,10.8602,3.14
152,8637.12,0.00188158,11.0433,3.14
153,4621.69,0.00145042,11.2297,3.14
154,5664.75,0.00315126,11.4192,3.14
155,3716.95,0.00149366,11.6121,3.14
156,2960.47,0.00142078,11.8084,3.14
157,3142.85,0.00207099,12.0081,3.14
158,2045.56,0.00171922,12.2112,3.14
159,2062.38,0.00142041,12.4178,3.14
160,669.763,0.00316445,12.6279,3.14
161,766.338,0.00190807,12.8416,3.14
