step,energy,beta,lambda,delta
0,3582.28,0.00324441,1,3.14
1,2653.21,0.00165291,0.76754,3.14
2,3888.89,0.00242319,0.693758,3.14
3,1861.71,0.00248408,0.614039,3.14
4,2692.66,0.00170731,0.570909,3.14
5,2797.86,0.00374308,0.548545,3.14
6,4144.46,0.0024162,0.557771,3.14
7,2854.28,0.00205043,0.584392,3.14
8,2227.09,0.00264632,0.623491,3.14
9,792.272,0.00194336,0.679913,3.14
10,330.502,0.00329235,0.749063,3.14
11,2700.37,0.00509868,0.841367,3.14
12,2261.52,0.00218457,0.968588,3.14
13,5206.91,0.00181634,1.11936,3.14
14,4929.06,0.00336326,1.29698,3.14
15,3637.81,0.0116137,1.53075,3.14
16,973.289,0.00298645,1.80966,3.14
17,1639.79,0.00249115,2.15175,3.14
18,483.69,0.00141889,2.56542,3.14
19,655.07,0.00152514,3.06719,3.14
20,456.765,0.00178782,3.67756,3.14
21,40.8123,0.00152451,4.42182,3.14
22,26.9578,0.00340026,5.32902,3.14
23,469.908,0.00228459,6.436,3.14
24,170.72,0.00217447,7.79259,3.14
25,154.378,0.00251581,9.45382,3.14
26,97.6519,0.00232477,11.4892,3.14
27,82.3135,0.00322892,13.9862,3.14
28,19.28,0.00342426,17.051,3.14
29,59.4946,0.00827708,20.8179,3.14
30,41.0876,0.00329606,25.4507,3.14
31,17.5286,0.00504066,31.16,3.14
32,34.5513,0.00701044,38.1979,3.14
33,15.6758,0.00919131,46.8832,3.14
34,9.16943,0.00742394,57.6151,3.14
35,8.05493,0.00833248,70.8813,3.14
36,5.61182,0.00969573,87.3001,3.14
37,4.31396,0.0123209,107.63,3.14
38,2.30371,0.0212106,132.827,3.14
39,1.09668,0.0669632,164.086,3.14
40,0.829102,0.0359017,202.888,3.14
41,2.70093,0.0280595,251.093,3.14
42,1.92163,0.0596598,311.028,3.14
43,6.60083,0.0877568,385.595,3.14
44,0.154053,0.159739,478.43,3.14
45,0.436523,0.157491,594.084,3.14
46,1.1875,0.12038,738.269,3.14
47,0.394531,0.148583,918.137,3.14
48,1.10522,0.177713,1142.64,3.14
49,0.579346,0.211194,1423.07,3.14
50,0.319824,0.374315,1773.54,3.14
51,0.159668,0.356712,2211.75,3.14
52,0.716309,0.546912,2760.04,3.14
53,0.0661621,0.424554,3446.43,3.14
54,0.0090332,1.77353,4306.15,3.14
