step,energy,beta,lambda,delta
0,11046.1,0.00524076,1,3.14
1,8295.13,0.00227314,0.98311,3.14
2,11045.6,0.00243221,0.984689,3.14
3,8917.36,0.00204246,0.991854,3.14
4,7507.95,0.00387261,1.00102,3.14
5,8339.43,0.00396351,1.01329,3.14
6,7498.42,0.00235866,1.02483,3.14
7,9504.61,0.00179295,1.03838,3.14
8,10512.3,0.00342118,1.05199,3.14
9,8876.78,0.00223592,1.06684,3.14
10,8740.35,0.00261522,1.0821,3.14
11,9110.91,0.0033806,1.09774,3.14
12,7357.39,0.00198646,1.11464,3.14
13,7491.18,0.00267219,1.13086,3.14
14,8485.1,0.00349192,1.14811,3.14
15,8939.65,0.00327849,1.16551,3.14
16,7615.32,0.00220556,1.18353,3.14
17,11643.9,0.00617452,1.20189,3.14
18,3930.54,0.00142569,1.22059,3.14
19,11072.9,0.00188255,1.23964,3.14
20,9825.81,0.00157815,1.25905,3.14
21,7890.55,0.00247447,1.27868,3.14
22,3185.76,0.00156354,1.29881,3.14
23,7021.95,0.00239408,1.31916,3.14
24,4013.88,0.00132119,1.34045,3.14
25,5122.28,0.00161003,1.36208,3.14
26,10327.7,0.00283237,1.38374,3.14
27,6222.35,0.00155632,1.40605,3.14
28,7409.98,0.00158072,1.42877,3.14
29,7242.28,0.00185366,1.45185,3.14
30,8683.47,0.00189854,1.47541,3.14
31,7560.03,0.00180223,1.49902,3.14
32,8297.04,0.00325879,1.52334,3.14
33,13914.4,0.00243529,1.54791,3.14
34,6340.08,0.00186863,1.57324,3.14
35,9776.27,0.00247921,1.59866,3.14
36,4585.11,0.001962,1.62469,3.14
37,8438.48,0.00394916,1.65112,3.14
38,5431.43,0.00181541,1.67778,3.14
39,7705.03,0.00223503,1.70527,3.14
40,8497.67,0.00314295,1.73336,3.14
41,11403.2,0.00243774,1.7617,3.14
42,7608.52,0.0027179,1.79075,3.14
43,11202.6,0.00311995,1.82023,3.14
44,6070.73,0.00185082,1.8503,3.14
45,11118.2,0.0092979,1.8806,3.14
46,10457.7,0.00227273,1.91165,3.14
47,8126.88,0.00321913,1.94318,3.14
48,8220.53,0.0019741,1.97519,3.14
49,5825.5,0.00227215,2.00798,3.14
50,8661.44,0.0019537,2.04117,3.14
51,4659.78,0.00158493,2.07486,3.14
52,5820.16,0.00280748,2.10917,3.14
53,7509.08,0.00179119,2.14405,3.14
54,8311.88,0.00219874,2.17938,3.14
55,6345.59,0.00205433,2.21554,3.14
56,9993.2,0.00480298,2.25235,3.14
57,8747.04,0.00301768,2.28978,3.14
58,12597.1,0.0102938,2.32788,3.14
59,11166.4,0.00278428,2.36653,3.14
60,6457.97,0.00394446,2.40582,3.14
61,7853.11,0.00241464,2.4457,3.14
62,7878.56,0.00232737,2.48635,3.14
63,7049.78,0.0014764,2.52765,3.14
64,10217.1,0.00242585,2.56983,3.14
65,6802.48,0.00212352,2.61265,3.14
66,8911.41,0.00275319,2.65615,3.14
67,11045.5,0.00194987,2.70045,3.14
68,10326.4,0.00425659,2.74539,3.14
69,7210.17,0.00230383,2.79121,3.14
70,5568.5,0.00127766,2.8376,3.14
71,6808.73,0.0021689,2.88491,3.14
72,3543.12,0.00127577,2.93305,3.14
73,9436.23,0.00245196,2.98187,3.14
