step,energy,beta,lambda,delta
145,10976.9,0.00195724,9.81242,3.14
146,7689.6,0.00127498,9.9773,3.14
147,6821.68,0.0014606,10.1454,3.14
148,3108.62,0.00112899,10.3166,3.14
149,3442.8,0.001291,10.4909,3.14
150,6416.01,0.00344045,10.6682,3.14
151,4412.51,0.00150962,10.8486,3.14
152,7007.25,0.00397133,11.032,3.14
153,6620.79,0.00281991,11.2184,3.14
154,5752.68,0.00167741,11.4079,3.14
155,5471.22,0.00148619,11.6003,3.14
156,3385.31,0.00155173,11.7964,3.14
157,4687.65,0.0022412,11.9957,3.14
158,4089.28,0.00186018,12.1985,3.14
159,3430.08,0.00226777,12.4046,3.14
160,3123.82,0.00188281,12.6144,3.14
161,2294.52,0.00173032,12.8278,3.14
162,3214.44,0.00279019,13.0446,3.14
163,1464.74,0.00171339,13.2653,3.14
164,705.355,0.00149094,13.4897,3.14
165,2194.41,0.00187967,13.7181,3.14
166,2573.48,0.00165964,13.9504,3.14
167,2801.97,0.00178325,14.1866,3.14
168,2197.35,0.00582044,14.4267,3.14
169,4157.67,0.00330827,14.6708,3.14
170,756.236,0.00209679,14.9193,3.14
171,625.033,0.00155509,15.1721,3.14
172,769.705,0.00221293,15.429,3.14
173,989.378,0.0023615,15.6903,3.14
174,1673.09,0.00217177,15.9561,3.14
175,1120.67,0.00170902,16.2266,3.14
176,1202.08,0.00180896,16.5016,3.14
177,1658.88,0.0018948,16.7812,3.14
178,2315.99,0.00152033,17.0653,3.14
179,2855.93,0.00347046,17.3542,3.14
180,3497.92,0.00318371,17.6479,3.14
181,774.194,0.00200438,17.9471,3.14
182,2006.64,0.00489878,18.2512,3.14
183,1580.85,0.00367345,18.5606,3.14
184,572.591,0.00203463,18.8753,3.14
185,2216.3,0.00302245,19.1953,3.14
186,2265.85,0.0047201,19.5208,3.14
187,876.781,0.00228976,19.852,3.14
188,1184.58,0.00359512,20.1888,3.14
189,1915.7,0.00224255,20.5315,3.14
190,1532.31,0.00218508,20.8798,3.14
191,393.699,0.00124008,21.2343,3.14
192,1057.29,0.00204512,21.5947,3.14
193,373.801,0.00163972,21.9613,3.14
194,317.73,0.00200654,22.3343,3.14
195,291.953,0.0019359,22.7135,3.14
196,535.713,0.00181508,23.0992,3.14
197,350.372,0.00216819,23.4916,3.14
198,1360.07,0.00276029,23.8903,3.14
199,517.03,0.0016445,24.2962,3.14
200,433.53,0.00284446,24.7089,3.14
201,681.7,0.0029074,25.1289,3.14
202,710.072,0.0030219,25.5561,3.14
203,368.689,0.00353742,25.9904,3.14
204,158.769,0.00185913,26.4323,3.14
205,414.009,0.00155714,26.8816,3.14
206,286.348,0.00261967,27.3388,3.14
207,195.033,0.00177541,27.8037,3.14
208,353.824,0.00235686,28.2765,3.14
209,266.23,0.00203217,28.7574,3.14
210,153.239,0.00138582,29.2464,3.14
211,741.798,0.00715298,29.7438,3.14
212,834.666,0.00372158,30.2496,3.14
213,479.235,0.00226185,30.7639,3.14
214,322.438,0.00191133,31.2872,3.14
215,246.287,0.0019147,31.8194,3.14
216,920.398,0.00335708,32.3606,3.14
217,159.292,0.00190789,32.9114,3.14
218,1040.59,0.00616056,33.4713,3.14
219,166.832,0.00161761,34.041,3.14
220,229.334,0.00230436,34.6205,3.14
221,211.406,0.0024919,35.2099,3.14
222,250.111,0.00270902,35.8093,3.14
223,349.86,0.00263594,36.4191,3.14
224,580.628,0.00566569,37.0391,3.14
225,291.823,0.0030645,37.6698,3.14
226,155.44,0.00189696,38.3112,3.14
227,173.617,0.00233589,38.9637,3.14
228,494.188,0.00345197,39.6271,3.14
229,265.334,0.00196378,40.302,3.14
230,525.155,0.00406062,40.9885,3.14
231,314.849,0.00277287,41.6867,3.14
232,484.816,0.0032732,42.3969,3.14
233,317.245,0.0032583,43.1191,3.14
234,284.811,0.00246615,43.8539,3.14
235,149.857,0.00246459,44.6015,3.14
236,185.933,0.00282739,45.3614,3.14
237,234.996,0.00260092,46.1345,3.14
238,255.079,0.00350144,46.9208,3.14
239,343.409,0.00368745,47.7203,3.14
240,136.331,0.00306767,48.5338,3.14
241,387.35,0.00416085,49.3608,3.14
242,197.938,0.00303917,50.2023,3.14
243,124.271,0.00300206,51.0581,3.14
244,349.079,0.00509874,51.929,3.14
245,198.464,0.00250662,52.8144,3.14
246,216.659,0.0044077,53.715,3.14
247,247.995,0.00446505,54.631,3.14
248,331.644,0.00479661,55.5626,3.14
249,264.178,0.00507729,56.51,3.14
250,320.254,0.00675122,57.4736,3.14
251,266.046,0.00311943,58.4538,3.14
252,149.678,0.00219669,59.4509,3.14
253,269.72,0.00357072,60.4654,3.14
254,352.385,0.00347297,61.497,3.14
255,90.8301,0.0029499,62.5464,3.14
256,100.834,0.00238533,63.6135,3.14
257,83.7441,0.00499537,64.6991,3.14
258,306.538,0.00452351,65.8031,3.14
259,390.951,0.00586211,66.9259,3.14
260,257.512,0.00489626,68.0682,3.14
261,140.225,0.00344577,69.2303,3.14
262,237.25,0.00422087,70.4119,3.14
263,282.577,0.00491338,71.6137,3.14
264,269.727,0.0103937,72.8359,3.14
265,227.186,0.0054895,74.079,3.14
266,186.675,0.00818602,75.3437,3.14
267,101.643,0.00368765,76.6301,3.14
268,80.707,0.00286659,77.9387,3.14
269,96.291,0.00418593,79.2697,3.14
270,57.8984,0.00370832,80.6234,3.14
271,118.447,0.00598393,82.0001,3.14
272,267.095,0.00675144,83.3998,3.14
273,204.25,0.00690144,84.8238,3.14
274,80.9834,0.00472576,86.2725,3.14
275,75.1025,0.00785978,87.7463,3.14
276,171.265,0.00701966,89.2446,3.14
277,70.8418,0.00355069,90.7692,3.14
278,126.631,0.00392647,92.3199,3.14
279,78.665,0.00467599,93.8971,3.14
280,144.445,0.00569801,95.5014,3.14
281,124.42,0.00668586,97.133,3.14
282,359.325,0.00932526,98.7925,3.14
283,139.123,0.00742977,100.481,3.14
284,139.281,0.0067596,102.197,3.14
285,106.291,0.00440256,103.944,3.14
286,169.35,0.00602672,105.72,3.14
287,129.036,0.0101122,107.526,3.14
288,138.223,0.00601528,109.364,3.14
289,60.0732,0.0052062,111.233,3.14
290,215.494,0.0134991,113.134,3.14
291,86.876,0.00797821,115.067,3.14
292,107.468,0.00661131,117.034,3.14
293,74.8945,0.00813572,119.034,3.14
294,119.654,0.011807,121.07,3.14
295,154.142,0.00813658,123.139,3.14
296,85.0957,0.0078073,125.244,3.14
297,96.8174,0.00644726,127.386,3.14
298,32.4189,0.00479538,129.564,3.14
299,122.257,0.00666905,131.779,3.14
300,76.042,0.00950281,134.032,3.14
301,74.4629,0.00641095,136.324,3.14
302,49.9316,0.00518458,138.655,3.14
303,49.4014,0.00724783,141.026,3.14
304,84.4316,0.00861209,143.438,3.14
305,170.371,0.0109302,145.891,3.14
306,122.776,0.00733881,148.386,3.14
307,258.58,0.0170946,150.923,3.14
308,142.15,0.0122924,153.505,3.14
309,80.2207,0.0069312,156.13,3.14
310,36.4648,0.00865964,158.801,3.14
311,47.8516,0.00774421,161.518,3.14
312,71.3633,0.00728914,164.281,3.14
313,59.6006,0.00765293,167.092,3.14
314,109.329,0.00912927,169.951,3.14
315,85.6094,0.0114329,172.859,3.14
316,11.8916,0.00497469,175.816,3.14
317,50.583,0.00733114,178.824,3.14
318,51.332,0.0110194,181.885,3.14
319,139.994,0.0148182,184.996,3.14
320,42.7109,0.00924989,188.161,3.14
321,51.7139,0.0102422,191.381,3.14
322,83.8701,0.0162198,194.656,3.14
323,154.784,0.0170245,197.987,3.14
324,47.2568,0.0102403,201.376,3.14
325,97.5596,0.0112445,204.822,3.14
326,57.7295,0.00981316,208.328,3.14
327,25.1641,0.0113126,211.894,3.14
328,50.6592,0.00923023,215.521,3.14
