step,energy,beta,lambda,delta
0,1.53769,2605.28,1,0.03
1,1.53593,1822.39,1,0.03
2,1.53449,72681.7,1,0.03
3,1.53362,9242.22,1,0.03
4,1.53302,36341.5,1,0.03
5,1.5304,1537.92,1,0.03
6,1.52865,15161,1,0.03
7,1.52665,4202.16,1,0.03
8,1.52426,1102.37,1,0.03
9,1.5225,2761.1,1,0.03
10,1.52028,2924.42,1,0.03
11,1.51891,1322.74,1,0.03
12,1.51655,2653.53,1,0.03
13,1.51403,4903.12,1,0.03
14,1.51169,2063.99,1,0.03
15,1.50998,91271.5,1,0.03
16,1.50765,2705.76,1,0.03
17,1.50628,2421.58,1,0.03
18,1.50337,2205.79,1,0.03
19,1.50175,1545.9,1,0.03
20,1.5013,2583.31,1,0.03
21,1.49758,1078.92,1,0.03
22,1.49543,1840.32,1,0.03
23,1.49351,1941.01,1,0.03
24,1.49304,2710.5,1,0.03
25,1.49121,3922.17,1,0.03
26,1.48796,1061.55,1,0.03
27,1.48787,3082.14,1,0.03
28,1.48708,4709.22,1,0.03
29,1.4845,882.593,1,0.03
30,1.48222,1092.48,1,0.03
31,1.47967,1911.16,1,0.03
32,1.47952,3060.17,1,0.03
33,1.47926,145363,1,0.03
34,1.47512,730.461,1,0.03
35,1.47358,5198.24,1,0.03
36,1.4736,4172,1,0.03
37,1.47261,2060.34,1,0.03
38,1.47214,5451.23,1,0.03
39,1.47224,4184.33,1.00184,0.03
40,1.47124,24944.7,1.00184,0.03
41,1.4699,4511.67,1.00184,0.03
42,1.4674,1692.65,1.00184,0.03
43,1.46515,4627.13,1.00184,0.03
44,1.46479,20852,1.00184,0.03
45,1.46309,1982.37,1.00184,0.03
46,1.46174,4673.56,1.00184,0.03
47,1.45978,3997.23,1.00184,0.03
48,1.45638,1282.87,1.00184,0.03
49,1.45595,2471.29,1.00184,0.03
50,1.45502,1642.75,1.00184,0.03
51,1.45413,10933.1,1.00184,0.03
52,1.45238,1255.58,1.00184,0.03
53,1.45201,80757.5,1.00184,0.03
54,1.45087,3502.47,1.00184,0.03
55,1.44914,5378.28,1.00184,0.03
56,1.44873,55909,1.00184,0.03
57,1.44703,1083.89,1.00184,0.03
58,1.44683,2970.88,1.00184,0.03
59,1.44539,5831.02,1.00184,0.03
60,1.44289,72681.7,1.00184,0.03
61,1.4433,5979.86,1.00184,0.03
62,1.44172,4466.16,1.00184,0.03
63,1.44087,4678.67,1.00184,0.03
64,1.43988,1733.93,1.00184,0.03
65,1.43846,1792.6,1.00184,0.03
66,1.43727,1985.01,1.00184,0.03
67,1.43712,4344.82,1.00184,0.03
68,1.43534,1672.53,1.00184,0.03
69,1.43361,5692.31,1.00184,0.03
70,1.43211,1445.87,1.00184,0.03
71,1.43078,4001.17,1.00184,0.03
72,1.43048,2396.45,1.00184,0.03
73,1.43042,5108.53,1.00184,0.03
74,1.43002,3512.32,1.00184,0.03
75,1.42979,5348.55,1.00184,0.03
76,1.42709,952.756,1.00184,0.03
77,1.42648,1517.85,1.00184,0.03
78,1.42575,60568.1,1.00184,0.03
79,1.42366,1546.5,1.00184,0.03
80,1.42158,3501.87,1.00184,0.03
81,1.41934,2190.75,1.00184,0.03
82,1.4196,4482.48,1.00369,0.03
83,1.4181,2134.68,1.00369,0.03
84,1.41868,3461.35,1.00369,0.03
85,1.41672,1423.17,1.00369,0.03
86,1.41398,103831,1.00369,0.03
87,1.41494,2061.99,1.00554,0.03
88,1.41477,3085.94,1.00554,0.03
89,1.41435,1319.86,1.00554,0.03
90,1.41545,4660.89,1.00554,0.03
91,1.41305,746.911,1.00554,0.03
92,1.41212,1517.98,1.00554,0.03
93,1.41024,18636.3,1.00554,0.03
94,1.40972,2939.43,1.00554,0.03
95,1.4104,2163.69,1.00739,0.03
96,1.4078,1800.78,1.00739,0.03
97,1.40625,1458,1.00739,0.03
98,1.40462,1010.06,1.00739,0.03
99,1.40426,2493.68,1.00739,0.03
100,1.40185,1655.77,1.00739,0.03
101,1.40206,22769.8,1.00739,0.03
102,1.40217,6332.71,1.00924,0.03
103,1.40114,1764.82,1.00924,0.03
104,1.39875,884.901,1.00924,0.03
105,1.39847,2195.21,1.00924,0.03
106,1.39583,1997.28,1.00924,0.03
107,1.39692,3934.9,1.00924,0.03
108,1.39583,4399.9,1.00924,0.03
109,1.39508,2115.3,1.00924,0.03
110,1.39322,1143.95,1.00924,0.03
111,1.39113,40378.7,1.00924,0.03
112,1.39224,3144.77,1.0111,0.03
113,1.39248,7946.86,1.0111,0.03
114,1.39135,3203.56,1.0111,0.03
115,1.38893,1451.45,1.0111,0.03
116,1.387,1872.78,1.0111,0.03
117,1.38671,1953.39,1.0111,0.03
118,1.38471,1313.58,1.0111,0.03
119,1.38443,1866.23,1.0111,0.03
120,1.38078,654.785,1.0111,0.03
121,1.38153,3611.56,1.01297,0.03
122,1.38035,1377.67,1.01297,0.03
123,1.37904,1305.83,1.01297,0.03
124,1.37721,1014.68,1.01297,0.03
125,1.37664,12834.5,1.01297,0.03
126,1.37628,7692.22,1.01297,0.03
127,1.37654,1452.88,1.01297,0.03
128,1.37643,1645.06,1.01297,0.03
129,1.37615,1828.56,1.01297,0.03
130,1.37493,1616.52,1.01297,0.03
131,1.3732,1522.18,1.01297,0.03
132,1.37115,1109.14,1.01297,0.03
133,1.36855,634.015,1.01297,0.03
134,1.36704,1038.56,1.01297,0.03
135,1.36537,3603.61,1.01297,0.03
136,1.36544,4591.84,1.01483,0.03
137,1.36486,1169.25,1.01483,0.03
138,1.36446,2293.74,1.01483,0.03
139,1.36373,1738.02,1.01483,0.03
140,1.36355,4578.66,1.01483,0.03
141,1.36231,2005.92,1.01483,0.03
142,1.3627,3189.1,1.01483,0.03
143,1.36253,790.111,1.01483,0.03
144,1.3628,6213.68,1.0167,0.03
145,1.35911,528.079,1.0167,0.03
146,1.35651,1500.84,1.0167,0.03
147,1.35595,1711.15,1.0167,0.03
148,1.3557,1835.73,1.0167,0.03
149,1.35577,3862.21,1.0167,0.03
150,1.35511,145363,1.0167,0.03
151,1.3547,1829.61,1.0167,0.03
152,1.35291,1941.28,1.0167,0.03
153,1.35392,6331.78,1.01857,0.03
154,1.35276,3866.46,1.01857,0.03
155,1.35207,2713.09,1.01857,0.03
156,1.35124,8451.41,1.01857,0.03
157,1.35195,3773.66,1.01857,0.03
158,1.35076,2907.5,1.01857,0.03
159,1.34975,2021.05,1.01857,0.03
160,1.34902,4073.93,1.01857,0.03
161,1.34719,3363.91,1.01857,0.03
162,1.34778,5065.49,1.02045,0.03
163,1.34715,2006.01,1.02045,0.03
164,1.34653,3787.08,1.02045,0.03
165,1.3451,1269.23,1.02045,0.03
166,1.3419,873.728,1.02045,0.03
167,1.33985,620.559,1.02045,0.03
168,1.3393,11216.3,1.02045,0.03
169,1.33645,1364.91,1.02045,0.03
170,1.33546,1001.45,1.02045,0.03
171,1.33594,1344.36,1.02045,0.03
172,1.33581,7900.19,1.02045,0.03
173,1.33545,1904.82,1.02045,0.03
174,1.33336,887.649,1.02045,0.03
175,1.33215,27954.5,1.02045,0.03
176,1.32979,2282.74,1.02045,0.03
177,1.32742,26919.2,1.02045,0.03
178,1.328,1700.92,1.02233,0.03
179,1.32796,10848,1.02233,0.03
180,1.32836,4184.6,1.02233,0.03
181,1.32838,1090.04,1.02421,0.03
182,1.32881,66074.3,1.02421,0.03
183,1.32949,1357.84,1.0261,0.03
184,1.32924,2101.67,1.0261,0.03
185,1.32782,15464.2,1.0261,0.03
186,1.32849,5169.54,1.0261,0.03
187,1.32915,5201.65,1.02799,0.03
188,1.32623,953.555,1.02799,0.03
189,1.32684,25062.7,1.02799,0.03
190,1.32645,2210.73,1.02799,0.03
191,1.32491,1708.71,1.02799,0.03
192,1.32448,837.07,1.02799,0.03
193,1.32514,8694.02,1.02988,0.03
194,1.32557,5698.18,1.02988,0.03
195,1.32422,945.798,1.02988,0.03
196,1.3224,766.264,1.02988,0.03
197,1.32229,1921.72,1.02988,0.03
198,1.32248,2242.3,1.03178,0.03
199,1.3225,10489.6,1.03178,0.03
200,1.32294,1800.64,1.03368,0.03
201,1.32276,5015.59,1.03368,0.03
202,1.3218,2298.98,1.03368,0.03
203,1.32134,11798.6,1.03368,0.03
204,1.31903,1186.59,1.03368,0.03
205,1.31705,3428.46,1.03368,0.03
206,1.31714,51915.5,1.03368,0.03
207,1.31772,10435,1.03558,0.03
208,1.31861,2063.64,1.03558,0.03
209,1.31756,1238.39,1.03558,0.03
210,1.31718,1076.58,1.03558,0.03
