step,energy,beta,lambda,delta
0,1.52434,353.676,1,0.03
1,1.52254,1471.52,1,0.03
2,1.52071,7535.87,1,0.03
3,1.51727,3887.42,1,0.03
4,1.51558,3829.76,1,0.03
5,1.51301,1671.51,1,0.03
6,1.51032,1163.24,1,0.03
7,1.509,6597.99,1,0.03
8,1.50836,10986.2,1,0.03
9,1.50545,3644.45,1,0.03
10,1.50336,34067.9,1,0.03
11,1.50086,1759.04,1,0.03
12,1.50028,5947.26,1,0.03
13,1.49932,40403,1,0.03
14,1.49809,6650.36,1,0.03
15,1.4963,2667.27,1,0.03
16,1.49448,2153.22,1,0.03
17,1.49171,1007.82,1,0.03
18,1.48975,3677.22,1,0.03
19,1.48773,2815.53,1,0.03
20,1.48535,2276.92,1,0.03
21,1.48365,72681.7,1,0.03
22,1.48092,1345.17,1,0.03
23,1.47954,1760.58,1,0.03
24,1.47676,4352.38,1,0.03
25,1.47569,2357.2,1,0.03
26,1.47542,11026.2,1,0.03
27,1.47405,1034.14,1,0.03
28,1.4725,2989.53,1,0.03
29,1.47044,1364.47,1,0.03
30,1.46912,11722.9,1,0.03
31,1.46888,9144.63,1,0.03
32,1.46769,2575.39,1,0.03
33,1.46689,2995.45,1,0.03
34,1.46496,6988.64,1,0.03
35,1.46323,1694.02,1,0.03
36,1.46085,2684.13,1,0.03
37,1.45961,7571.05,1,0.03
38,1.45926,2597.35,1,0.03
39,1.45929,4341.41,1,0.03
40,1.45677,4252.91,1,0.03
41,1.4559,8657.44,1,0.03
42,1.4544,2485.17,1,0.03
43,1.45497,24613.5,1.00184,0.03
44,1.45329,3532.28,1.00184,0.03
45,1.45014,721.365,1.00184,0.03
46,1.44911,5781.85,1.00184,0.03
47,1.44817,25245.9,1.00184,0.03
48,1.44612,1320.17,1.00184,0.03
49,1.44309,1079.05,1.00184,0.03
50,1.44199,5349.54,1.00184,0.03
51,1.44101,5981.99,1.00184,0.03
52,1.44118,6484.76,1.00184,0.03
53,1.44096,2611.7,1.00184,0.03
54,1.43971,6704.87,1.00184,0.03
55,1.43639,9119.69,1.00184,0.03
56,1.43573,1756.53,1.00184,0.03
57,1.43432,2922.93,1.00184,0.03
58,1.4335,2012.13,1.00184,0.03
59,1.43364,6585.28,1.00369,0.03
60,1.43222,2350.74,1.00369,0.03
61,1.43035,14528.5,1.00369,0.03
62,1.42976,2047.57,1.00369,0.03
63,1.4289,5226.2,1.00369,0.03
64,1.42626,853.08,1.00369,0.03
65,1.42388,1217.99,1.00369,0.03
66,1.42232,4438.62,1.00369,0.03
