step,energy,beta,lambda,delta
0,3.16902,20.1699,1,0.3
1,3.13301,53.9988,1,0.3
2,2.98141,90.6144,1,0.3
3,2.98776,39.3546,1,0.3
4,3.06865,59.376,1,0.3
5,3.15875,266.024,1,0.3
6,2.98998,33.2808,1,0.3
7,3.07107,32.3401,1,0.3
8,3.04433,42.2504,1,0.3
9,2.97524,62.0503,1,0.3
10,2.99997,36.3258,1.06908,0.3
11,2.95533,36.1548,1.06908,0.3
12,2.95737,37.1144,1.06908,0.3
13,2.99922,141.933,1.06908,0.3
14,2.94012,57.0545,1.06908,0.3
15,2.94454,30.1611,1.06908,0.3
16,2.92808,67.9736,1.06908,0.3
17,2.87421,38.6771,1.06908,0.3
18,2.80516,16.971,1.06908,0.3
19,2.84586,47.8028,1.06908,0.3
20,2.81482,38.459,1.06908,0.3
21,2.76979,82.4146,1.06908,0.3
22,2.72483,18.9843,1.06908,0.3
23,2.75252,25.9344,1.14293,0.3
24,2.80444,440.763,1.14293,0.3
25,2.77761,40.9404,1.14293,0.3
26,2.81363,49.8622,1.14293,0.3
27,2.83464,39.7836,1.14293,0.3
28,2.84951,21.5328,1.14293,0.3
29,2.82869,61.1066,1.14293,0.3
30,2.87856,264.824,1.22188,0.3
31,2.72498,18.5376,1.22188,0.3
32,2.73242,44.6359,1.22188,0.3
33,2.72692,22.6348,1.22188,0.3
34,2.77975,60.0978,1.22188,0.3
35,2.7557,25.6933,1.22188,0.3
36,2.69673,26.8323,1.22188,0.3
37,2.6002,19.7589,1.22188,0.3
38,2.5902,28.9847,1.22188,0.3
39,2.63786,30.8132,1.22188,0.3
40,2.64698,36.6834,1.22188,0.3
41,2.68153,148.619,1.30628,0.3
42,2.71677,76.7403,1.30628,0.3
43,2.76193,84.6271,1.30628,0.3
44,2.64212,36.0952,1.30628,0.3
45,2.72802,144.312,1.30628,0.3
46,2.70666,57.5624,1.30628,0.3
47,2.49214,9.32991,1.30628,0.3
48,2.61498,54.8804,1.30628,0.3
49,2.70196,191.914,1.39652,0.3
50,2.6046,259.578,1.39652,0.3
51,2.61547,45.0708,1.39652,0.3
52,2.67772,27.1328,1.39652,0.3
53,2.60299,11.8981,1.39652,0.3
54,2.66387,105.843,1.39652,0.3
55,2.71226,536.397,1.39652,0.3
56,2.71622,44.6514,1.49298,0.3
57,2.75498,22.6438,1.49298,0.3
58,2.83779,234.815,1.49298,0.3
59,2.82246,33.2218,1.49298,0.3
60,2.84361,497.479,1.49298,0.3
61,2.85459,65.1398,1.49298,0.3
62,2.76146,43.5296,1.49298,0.3
63,2.68298,24.6593,1.49298,0.3
64,2.726,54.2259,1.59612,0.3
65,2.7819,65.1446,1.59612,0.3
66,2.85098,1535.63,1.59612,0.3
67,2.73596,38.6795,1.59612,0.3
68,2.72559,49.45,1.59612,0.3
69,2.79396,50.1497,1.59612,0.3
70,2.79156,89.8653,1.59612,0.3
71,2.7923,158.498,1.59612,0.3
72,2.77617,67.244,1.59612,0.3
73,2.78178,183.876,1.70637,0.3
74,2.73663,44.1774,1.70637,0.3
75,2.832,51.752,1.70637,0.3
76,2.72564,51.9256,1.70637,0.3
77,2.72591,44.9155,1.70637,0.3
78,2.65662,234.098,1.70637,0.3
79,2.68346,35.1563,1.70637,0.3
80,2.72582,168.467,1.70637,0.3
81,2.69197,32.9174,1.70637,0.3
82,2.70479,143.131,1.82424,0.3
83,2.81194,108.478,1.82424,0.3
84,2.68109,52.5973,1.82424,0.3
85,2.67962,25.3091,1.82424,0.3
86,2.74047,430.326,1.82424,0.3
87,2.68141,56.2526,1.82424,0.3
88,2.65322,15.3553,1.82424,0.3
89,2.73938,133.903,1.82424,0.3
90,2.71153,42.1282,1.82424,0.3
91,2.76077,41.0807,1.82424,0.3
92,2.74042,220.629,1.82424,0.3
93,2.43928,10.0569,1.82424,0.3
94,2.44836,22.1077,1.95026,0.3
95,2.46811,57.8044,1.95026,0.3
96,2.52571,1101.24,1.95026,0.3
97,2.56139,37.9837,1.95026,0.3
98,2.54088,24.0554,1.95026,0.3
99,2.44514,14.8643,1.95026,0.3
100,2.51695,40.5216,1.95026,0.3
101,2.57969,88.4611,2.08498,0.3
102,2.64669,29.4493,2.08498,0.3
103,2.649,29.1963,2.08498,0.3
104,2.69938,62.587,2.08498,0.3
105,2.65198,21.1242,2.08498,0.3
106,2.70669,61.8929,2.08498,0.3
107,2.63328,73.5327,2.08498,0.3
108,2.65061,42.5842,2.229,0.3
109,2.73552,134.183,2.229,0.3
