step,energy,beta,lambda,delta
0,2.46253,104.176,1,0.15
1,2.42853,530.687,0.997126,0.15
2,2.4054,731.977,0.996006,0.15
3,2.40375,214.942,0.995691,0.15
4,2.38975,132.59,0.995749,0.15
5,2.37958,154.839,0.996114,0.15
6,2.36837,113.718,0.996816,0.15
7,2.33767,88.6104,0.997781,0.15
8,2.31634,152.842,0.998937,0.15
9,2.30145,93.649,1.00021,0.15
10,2.31757,121136,1.00156,0.15
11,2.32926,245.867,1.00299,0.15
12,2.32651,266.846,1.0045,0.15
13,2.31265,74.2005,1.0061,0.15
14,2.32976,668.658,1.00777,0.15
15,2.32203,76.3702,1.00954,0.15
16,2.32305,204.689,1.01135,0.15
17,2.32198,73.4444,1.01318,0.15
18,2.32419,130.443,1.01506,0.15
19,2.34315,585.396,1.017,0.15
20,2.30729,74.6083,1.019,0.15
21,2.28678,95.7578,1.02103,0.15
22,2.29266,171.316,1.0231,0.15
23,2.26771,172.456,1.0252,0.15
24,2.28141,105.349,1.02734,0.15
25,2.26281,77.4442,1.02951,0.15
26,2.29003,22024.8,1.03169,0.15
27,2.28901,138.024,1.0339,0.15
28,2.2629,390.572,1.03615,0.15
29,2.23939,661.947,1.0384,0.15
30,2.25873,358.458,1.04068,0.15
31,2.26693,4574.89,1.04299,0.15
32,2.2659,129.298,1.04534,0.15
33,2.25221,71.44,1.0477,0.15
34,2.22846,55.5937,1.05008,0.15
35,2.17757,44.0219,1.05248,0.15
36,2.16853,89.4595,1.05489,0.15
37,2.16858,117.729,1.05732,0.15
38,2.18147,2280.11,1.05977,0.15
39,2.19604,779.011,1.06224,0.15
40,2.20223,310.324,1.06473,0.15
41,2.24151,914.638,1.06724,0.15
42,2.23719,335.286,1.06977,0.15
43,2.20783,42.6785,1.07232,0.15
44,2.20754,252.947,1.07487,0.15
45,2.22015,190.248,1.07744,0.15
46,2.20701,74.5002,1.08003,0.15
47,2.20756,302.668,1.08264,0.15
48,2.2046,101.558,1.08527,0.15
49,2.21995,267.097,1.0879,0.15
50,2.20643,69.967,1.09055,0.15
51,2.20632,114.282,1.09321,0.15
52,2.18929,51.3528,1.09588,0.15
53,2.16909,75.2219,1.09857,0.15
54,2.18426,99.5826,1.10128,0.15
55,2.1843,106.198,1.10401,0.15
56,2.16571,368.211,1.10675,0.15
57,2.17479,145.136,1.10951,0.15
58,2.16187,170.897,1.1123,0.15
59,2.15111,81.7999,1.11509,0.15
60,2.15558,163.357,1.11791,0.15
61,2.13848,115.954,1.12073,0.15
62,2.11762,55.2024,1.12356,0.15
63,2.07769,44.2351,1.12639,0.15
64,2.06482,72.8053,1.12925,0.15
65,2.08681,254.082,1.13211,0.15
66,2.10177,303.72,1.13498,0.15
67,2.10225,73.8197,1.13785,0.15
68,2.11795,364.034,1.14073,0.15
69,2.10443,134.359,1.14363,0.15
70,2.1257,256.607,1.14654,0.15
71,2.12488,259.859,1.14946,0.15
72,2.12194,79.3991,1.15239,0.15
73,2.16262,180.206,1.15533,0.15
74,2.17659,337.753,1.15829,0.15
75,2.15919,69.9248,1.16127,0.15
76,2.15715,460.225,1.16426,0.15
77,2.16438,164.386,1.16726,0.15
78,2.15815,131.229,1.17026,0.15
79,2.15058,77.3171,1.17329,0.15
80,2.1336,69.6675,1.17632,0.15
81,2.1597,176.507,1.17938,0.15
82,2.16811,255.388,1.18245,0.15
83,2.18448,115.479,1.18552,0.15
84,2.1691,157.978,1.18861,0.15
85,2.1649,1156.41,1.19171,0.15
86,2.17755,1250.54,1.19482,0.15
87,2.14916,145.776,1.19794,0.15
88,2.15252,97.9716,1.20106,0.15
89,2.16825,1307.23,1.2042,0.15
90,2.1602,168.508,1.20734,0.15
91,2.15296,113.685,1.2105,0.15
92,2.15249,350.583,1.21366,0.15
93,2.15919,1873.32,1.21685,0.15
94,2.14804,60.4246,1.22004,0.15
95,2.17179,3173.87,1.22324,0.15
96,2.16621,126.22,1.22645,0.15
97,2.15545,76.6868,1.22968,0.15
98,2.14925,68.1026,1.23291,0.15
99,2.15407,322.006,1.23615,0.15
100,2.16054,189.22,1.23941,0.15
