step,energy,beta,lambda,delta
0,2.37253,204.951,1,0.25
1,2.29514,145.064,0.977783,0.25
2,2.28866,854.292,0.970135,0.25
3,2.25698,3007.07,0.968367,0.25
4,2.2021,367.444,0.97043,0.25
5,2.18523,1101.63,0.975351,0.25
6,2.16209,1087.57,0.982976,0.25
7,2.11725,183.42,0.992405,0.25
8,2.08468,99.2797,1.00243,0.25
9,2.05991,123.789,1.01309,0.25
10,2.0653,261.278,1.02462,0.25
11,2.02563,79.4898,1.03731,0.25
12,2.02489,193.347,1.05078,0.25
13,2.00004,165.177,1.06484,0.25
14,2.00089,206.764,1.07982,0.25
15,1.98631,281.224,1.0953,0.25
16,1.9382,79.7676,1.11189,0.25
17,1.92214,266.45,1.12887,0.25
18,1.89659,83.6241,1.14626,0.25
19,1.88561,807.088,1.16414,0.25
20,1.89961,1548.43,1.18238,0.25
21,1.89337,141.541,1.20129,0.25
22,1.89578,106.444,1.22084,0.25
23,1.90441,361.282,1.24081,0.25
24,1.91172,223.104,1.26136,0.25
25,1.89058,143.028,1.28215,0.25
26,1.87466,135.588,1.30308,0.25
27,1.86767,1233.99,1.32443,0.25
28,1.84829,370.831,1.34663,0.25
29,1.81511,98.7082,1.36923,0.25
30,1.81275,466.066,1.39243,0.25
31,1.77662,236.591,1.41636,0.25
32,1.76205,84.1183,1.44041,0.25
33,1.70319,88.8124,1.46486,0.25
34,1.7094,633.677,1.48967,0.25
35,1.65915,7125.66,1.5147,0.25
36,1.64471,881.009,1.54041,0.25
37,1.56221,50.004,1.56671,0.25
38,1.51449,109.441,1.59367,0.25
39,1.48898,68.7981,1.62113,0.25
40,1.4685,69.8564,1.64904,0.25
41,1.47115,140.478,1.67763,0.25
42,1.46395,106.261,1.70685,0.25
43,1.46136,101.422,1.7365,0.25
44,1.46339,159.785,1.7666,0.25
45,1.45743,254.37,1.79719,0.25
46,1.47651,298.651,1.82882,0.25
47,1.36073,36.5444,1.86129,0.25
48,1.39816,288.692,1.89424,0.25
49,1.41049,7268.18,1.928,0.25
50,1.43093,924.712,1.96207,0.25
51,1.43451,176.492,1.99694,0.25
52,1.41507,479.939,2.03263,0.25
53,1.38385,126.049,2.06884,0.25
54,1.37886,1943.36,2.10534,0.25
55,1.40987,288.706,2.14241,0.25
56,1.37232,175.46,2.18104,0.25
57,1.3733,133.559,2.22,0.25
58,1.35153,86.1367,2.2597,0.25
59,1.32192,82.1587,2.30032,0.25
60,1.30844,210.147,2.34182,0.25
61,1.2912,382.082,2.384,0.25
62,1.26634,79.8242,2.42759,0.25
63,1.26932,890.534,2.47122,0.25
64,1.23553,85.3816,2.51498,0.25
65,1.19305,2614.45,2.55993,0.25
66,1.15334,136.87,2.60599,0.25
67,1.1303,94.4723,2.65311,0.25
68,1.1299,194.774,2.70144,0.25
69,1.14852,308.852,2.75076,0.25
70,1.12429,110.951,2.80055,0.25
71,1.09443,90.8798,2.85124,0.25
72,1.05003,53.6272,2.90327,0.25
73,1.05534,194.99,2.95622,0.25
74,1.03961,121.717,3.00988,0.25
75,1.0665,880.705,3.06506,0.25
76,1.06988,824.994,3.12124,0.25
77,1.09267,734.588,3.1779,0.25
78,1.06053,102.524,3.23597,0.25
79,1.06934,595.534,3.29546,0.25
80,1.05835,322.084,3.35632,0.25
81,1.04479,143.303,3.41852,0.25
82,0.988684,56.9497,3.48213,0.25
83,0.984362,138.279,3.54661,0.25
84,0.988588,390.824,3.61222,0.25
85,0.999462,214.65,3.67835,0.25
86,0.976149,253.97,3.74552,0.25
87,0.992685,387.22,3.81304,0.25
88,0.995661,541.547,3.88235,0.25
89,0.961164,202.728,3.95286,0.25
90,0.955267,194.18,4.02566,0.25
91,0.953737,301.26,4.09955,0.25
92,0.926525,271.167,4.17507,0.25
93,0.923798,185.613,4.2512,0.25
94,0.926802,257.412,4.32933,0.25
95,0.927229,833.297,4.4088,0.25
96,0.930719,20766.2,4.4904,0.25
97,0.890638,103.005,4.57433,0.25
98,0.874418,137.5,4.65901,0.25
99,0.867334,2023.45,4.74526,0.25
100,0.880871,215.225,4.83269,0.25
101,0.857693,327.487,4.9225,0.25
102,0.840015,180.173,5.0138,0.25
103,0.787203,75.733,5.10876,0.25
104,0.800152,751.233,5.20504,0.25
