step,energy,beta,lambda,delta
0,1.5259,257.52,1,0.03
1,1.52364,2428.24,0.99954,0.03
2,1.52143,2024.33,0.999346,0.03
3,1.52068,10010.2,0.999276,0.03
4,1.51951,4205.69,0.999281,0.03
5,1.5171,2533.48,0.999327,0.03
6,1.51518,3725.15,0.999414,0.03
7,1.51415,8591.93,0.999532,0.03
8,1.51267,3768.81,0.99967,0.03
9,1.50953,1566.85,0.999827,0.03
10,1.50766,3242.4,0.999995,0.03
11,1.50576,25062.7,1.00017,0.03
12,1.50441,7295.66,1.00037,0.03
13,1.50392,4666.21,1.00057,0.03
14,1.50186,2356.98,1.00079,0.03
15,1.49876,4062.56,1.00101,0.03
16,1.4968,1091.98,1.00125,0.03
17,1.49524,3206.28,1.00149,0.03
18,1.49392,4427.59,1.00174,0.03
19,1.4918,3581.2,1.00199,0.03
20,1.49082,2432.01,1.00225,0.03
21,1.48971,20256.5,1.00251,0.03
22,1.48898,27954.5,1.00278,0.03
23,1.48845,2581.96,1.00306,0.03
24,1.48594,2429.71,1.00334,0.03
25,1.48379,2714.91,1.00362,0.03
26,1.48205,1509.34,1.00391,0.03
27,1.47982,1146.65,1.0042,0.03
28,1.4778,15464.2,1.0045,0.03
29,1.47741,4762.22,1.00479,0.03
30,1.47616,2756.62,1.00509,0.03
31,1.47485,4009.09,1.0054,0.03
32,1.475,26663.8,1.0057,0.03
33,1.47355,5742.58,1.00601,0.03
34,1.4707,1138.4,1.00632,0.03
35,1.47014,48454.5,1.00663,0.03
36,1.46859,4615.6,1.00694,0.03
37,1.46574,2185.37,1.00726,0.03
38,1.46493,4760.12,1.00758,0.03
39,1.46276,1656.55,1.0079,0.03
40,1.46049,1453,1.00823,0.03
41,1.46023,7190.95,1.00856,0.03
42,1.45987,6317.06,1.00888,0.03
43,1.45855,1109.32,1.00921,0.03
44,1.4568,2536.74,1.00955,0.03
45,1.45487,1297.15,1.00988,0.03
46,1.45408,2965.7,1.01022,0.03
47,1.45386,1889.79,1.01056,0.03
48,1.45262,2610.21,1.0109,0.03
49,1.45055,1725.43,1.01124,0.03
50,1.45066,16874.6,1.01158,0.03
51,1.45011,7607.32,1.01193,0.03
