step,energy,beta,lambda,delta
0,2.93463,1.92898,1,0.9
1,1.71054,1.81636,0.902725,0.9
2,2.03133,5.82989,0.83309,0.9
3,0.369373,1.27143,0.826487,0.9
4,0.472115,2.59343,0.821284,0.9
5,1.50404,2.65736,0.826224,0.9
6,0.945023,8.27914,0.853813,0.9
7,2.19064,9.62951,0.904364,0.9
8,1.01496,1.91582,0.943819,0.9
9,1.68896,2.90444,0.981676,0.9
10,1.44968,33.8448,1.05575,0.9
11,0.220604,2.11868,1.12696,0.9
12,1.75618,8.02239,1.21481,0.9
13,0.923748,3.03199,1.29553,0.9
14,0.973892,4.7003,1.38973,0.9
15,0.555357,4.21826,1.4987,0.9
16,1.51162,5.92109,1.6164,0.9
17,0.850922,25.4613,1.73624,0.9
18,1.0409,3.31508,1.86643,0.9
19,1.01115,3.4381,2.01632,0.9
20,0.372828,1.91006,2.18299,0.9
21,0.388863,4.20782,2.36626,0.9
22,0.552832,11.8728,2.56066,0.9
23,0.898315,5.06817,2.79241,0.9
24,0.584875,6.12293,3.03215,0.9
25,0.927193,24.9639,3.29034,0.9
26,1.07546,13.4373,3.58422,0.9
27,0.678579,4.68753,3.909,0.9
28,0.540569,2.39513,4.26766,0.9
29,0.5674,21.6095,4.65561,0.9
30,0.640419,21.3194,5.05956,0.9
31,0.243675,4.12098,5.52502,0.9
32,0.595053,4.35269,6.03432,0.9
33,0.693619,38.2541,6.5904,0.9
34,0.327236,6.48236,7.19605,0.9
35,0.439995,66.0323,7.86537,0.9
36,0.280106,548.128,8.58435,0.9
37,0.564415,65.3618,9.38242,0.9
38,0.449299,4.99362,10.2565,0.9
39,0.205969,7.69576,11.2121,0.9
40,0.100782,4.8879,12.2591,0.9
41,0.050108,48.1077,13.4135,0.9
42,0.0656872,13.1994,14.6866,0.9
43,0.336849,14.5121,16.0922,0.9
44,0.226965,15.7359,17.6312,0.9
45,0.275938,21.3504,19.2936,0.9
46,0.199699,71.2504,21.1472,0.9
47,0.251068,30.6458,23.1819,0.9
48,0.0294971,8.45151,25.3999,0.9
49,0.0854473,15.6894,27.825,0.9
50,0.118084,20.6721,30.5101,0.9
51,0.131077,79.8747,33.4431,0.9
52,0.167562,45.251,36.6716,0.9
53,0.127737,21.0913,40.2051,0.9
54,0.0200291,23.3841,44.1007,0.9
55,0.07444,51.6443,48.3999,0.9
56,0.11076,304.62,53.1315,0.9
57,0.0662518,308.076,58.2814,0.9
58,0.119268,123.952,63.9131,0.9
59,0.0804653,71.3276,70.1215,0.9
60,0.0536499,68.8256,76.9752,0.9
61,0.0935707,19.2849,84.49,0.9
62,0.0427704,46.6078,92.7441,0.9
63,0.0281563,46.463,101.843,0.9
64,0.0338631,59.8312,111.826,0.9
65,0.0278225,52.1358,122.833,0.9
66,0.0274849,96.3147,134.961,0.9
67,0.0368023,263.412,148.31,0.9
68,0.0196266,38.9113,162.979,0.9
69,0.0442104,188.476,179.141,0.9
70,0.104973,134.359,196.986,0.9
71,0.0119591,74.0459,216.481,0.9
72,0.00961304,60.2406,237.965,0.9
