step,energy,beta,lambda,delta
0,2.44226,369.882,1,0.15
1,2.40387,63.1591,0.997126,0.15
2,2.40117,497.515,0.99617,0.15
3,2.38035,119.577,0.995914,0.15
4,2.38676,1878.13,0.996075,0.15
5,2.36496,387.457,0.99657,0.15
6,2.34971,171.129,0.997324,0.15
7,2.33773,114.743,0.998237,0.15
8,2.33773,228.534,0.999257,0.15
9,2.34489,149.532,1.00039,0.15
10,2.33287,155.168,1.00165,0.15
11,2.34637,7815.24,1.00301,0.15
12,2.32891,553.545,1.00449,0.15
13,2.31036,57.7165,1.00603,0.15
14,2.29749,55.8531,1.00762,0.15
15,2.30914,117.186,1.00926,0.15
16,2.29222,104.575,1.01098,0.15
17,2.2895,555.686,1.01277,0.15
18,2.31577,325.728,1.01462,0.15
19,2.31783,249.019,1.01651,0.15
20,2.28338,78.6177,1.01843,0.15
21,2.29044,132.054,1.02039,0.15
22,2.29819,278.951,1.02238,0.15
23,2.28576,1029.49,1.0244,0.15
24,2.26517,211.453,1.02646,0.15
25,2.27511,113.626,1.02855,0.15
26,2.29456,158.442,1.03067,0.15
27,2.2894,589.949,1.03283,0.15
28,2.2489,109.624,1.03502,0.15
29,2.247,84.6704,1.03723,0.15
30,2.24552,90.4388,1.03948,0.15
31,2.23408,73.9473,1.04174,0.15
32,2.22134,58.9118,1.04403,0.15
33,2.22247,97.7106,1.04636,0.15
34,2.23617,112.898,1.04871,0.15
35,2.21908,77.8459,1.05107,0.15
36,2.21137,58.5407,1.05345,0.15
37,2.22436,1127.92,1.05587,0.15
38,2.20744,106.298,1.0583,0.15
39,2.1957,111.517,1.06076,0.15
40,2.19069,216.129,1.06323,0.15
41,2.23464,432.724,1.06572,0.15
42,2.21844,76.9456,1.06823,0.15
43,2.22883,922.631,1.07075,0.15
44,2.22185,135.732,1.07329,0.15
45,2.25089,268.894,1.07585,0.15
46,2.25166,246.049,1.07843,0.15
47,2.23621,141.81,1.08102,0.15
48,2.2361,178.886,1.08362,0.15
49,2.24991,134.987,1.08623,0.15
50,2.23935,57.975,1.08886,0.15
51,2.26133,449.521,1.09152,0.15
52,2.26107,147.242,1.09418,0.15
53,2.2706,183.724,1.09687,0.15
54,2.24634,65.8985,1.09957,0.15
55,2.23845,72.2534,1.10229,0.15
56,2.2665,237.542,1.10502,0.15
57,2.24047,64.176,1.10777,0.15
58,2.25111,105.729,1.11053,0.15
59,2.26704,2464,1.1133,0.15
60,2.26187,146.798,1.1161,0.15
61,2.27633,161.246,1.1189,0.15
62,2.2586,81.3539,1.12172,0.15
63,2.23128,87.203,1.12454,0.15
64,2.22267,433.902,1.12738,0.15
65,2.20683,54.5713,1.13023,0.15
66,2.19699,62.4142,1.1331,0.15
67,2.18131,78.3771,1.13597,0.15
68,2.20767,87.9171,1.13886,0.15
69,2.22655,160.06,1.14176,0.15
70,2.22612,363.14,1.14467,0.15
71,2.19406,46.3359,1.1476,0.15
72,2.1967,91.4067,1.15054,0.15
73,2.19041,197.908,1.15349,0.15
74,2.16574,66.8223,1.15645,0.15
75,2.14747,89.991,1.15941,0.15
76,2.14697,90.8952,1.16238,0.15
77,2.15188,475.889,1.16536,0.15
78,2.15159,74.9532,1.16834,0.15
79,2.13703,93.3723,1.17134,0.15
80,2.1484,84.9265,1.17434,0.15
81,2.16722,128.129,1.17736,0.15
82,2.19435,163.717,1.18039,0.15
83,2.19527,140.088,1.18343,0.15
84,2.19827,103.127,1.18648,0.15
85,2.20543,103.209,1.18954,0.15
86,2.1954,67.5441,1.19262,0.15
