step,energy,beta,lambda,delta
0,2.45533,71.1866,1,0.15
1,2.42115,534.572,0.997126,0.15
2,2.40035,219.567,0.996087,0.15
3,2.40685,278.813,0.995966,0.15
4,2.38915,843.007,0.996147,0.15
5,2.40231,171,0.996627,0.15
6,2.38544,162.263,0.997261,0.15
7,2.37048,177.114,0.998153,0.15
8,2.35533,174.984,0.999205,0.15
9,2.37446,237.242,1.00034,0.15
10,2.37667,464.054,1.0016,0.15
11,2.35536,133.661,1.00296,0.15
12,2.3578,315.207,1.00441,0.15
13,2.35118,151.471,1.00595,0.15
14,2.33041,409.263,1.00757,0.15
15,2.31059,75.6062,1.00926,0.15
16,2.31318,355.935,1.011,0.15
17,2.3342,384.237,1.01279,0.15
18,2.33122,111.5,1.01462,0.15
19,2.30646,70.4139,1.0165,0.15
20,2.28688,159.514,1.01842,0.15
21,2.25515,15464.2,1.02036,0.15
22,2.26264,178.952,1.02233,0.15
23,2.23517,110.119,1.02435,0.15
24,2.22169,180.966,1.0264,0.15
25,2.21678,66.2237,1.02849,0.15
26,2.23211,224.57,1.03063,0.15
27,2.25769,4781.69,1.03278,0.15
28,2.27571,179.742,1.03497,0.15
29,2.27873,288.364,1.03718,0.15
30,2.27518,131.487,1.03942,0.15
31,2.27448,214.327,1.04169,0.15
32,2.254,68.7085,1.044,0.15
33,2.25488,181.852,1.04634,0.15
34,2.25436,155.626,1.0487,0.15
35,2.25951,477.091,1.0511,0.15
36,2.26709,2352.16,1.05352,0.15
37,2.25901,67.806,1.05597,0.15
38,2.25767,104.648,1.05843,0.15
39,2.24525,133.658,1.06091,0.15
40,2.24897,175.289,1.0634,0.15
41,2.2609,315.16,1.0659,0.15
42,2.25051,117.187,1.06842,0.15
43,2.24977,92.7091,1.07096,0.15
44,2.22742,399.319,1.07351,0.15
45,2.241,97.343,1.07608,0.15
46,2.2393,283.362,1.07867,0.15
47,2.21839,110.322,1.08128,0.15
48,2.19776,109.359,1.0839,0.15
49,2.21184,217.255,1.08654,0.15
50,2.23112,227.392,1.08919,0.15
51,2.21393,65.6845,1.09185,0.15
52,2.20951,93.0682,1.09452,0.15
53,2.19839,129.787,1.09721,0.15
54,2.19919,212.671,1.09992,0.15
55,2.18847,117.344,1.10264,0.15
56,2.20255,1872.26,1.10538,0.15
57,2.2074,737.889,1.10814,0.15
58,2.20883,282.379,1.11091,0.15
59,2.20053,717.512,1.11369,0.15
60,2.19513,462.035,1.11648,0.15
61,2.18693,258.736,1.11929,0.15
62,2.15281,79.7619,1.12212,0.15
63,2.1163,60.4727,1.12495,0.15
64,2.12375,65.4077,1.1278,0.15
65,2.12093,85.7418,1.13065,0.15
66,2.1465,113.962,1.13352,0.15
67,2.15091,117.987,1.13639,0.15
68,2.15766,247.726,1.13928,0.15
69,2.17171,68.4607,1.14218,0.15
70,2.17451,239.122,1.1451,0.15
71,2.17196,81.3134,1.14803,0.15
72,2.16707,91.8205,1.15098,0.15
73,2.17019,180.185,1.15394,0.15
74,2.15319,98.2615,1.15691,0.15
75,2.13206,131.636,1.15989,0.15
76,2.1364,131.939,1.16289,0.15
77,2.12954,60.7544,1.16589,0.15
78,2.14276,1953.81,1.16891,0.15
79,2.13688,248.125,1.17193,0.15
80,2.14934,612.321,1.17497,0.15
81,2.17273,812.117,1.17802,0.15
82,2.15903,101.961,1.18108,0.15
83,2.16045,97.8416,1.18415,0.15
84,2.16784,128.543,1.18723,0.15
85,2.16358,78.5627,1.19032,0.15
86,2.12758,45.133,1.19343,0.15
87,2.1352,3174.92,1.19655,0.15
88,2.13796,273.358,1.19968,0.15
89,2.12215,108.324,1.20282,0.15
90,2.13767,423.36,1.20597,0.15
91,2.1299,98.1171,1.20913,0.15
92,2.12948,333.024,1.21229,0.15
93,2.10327,95.4224,1.21547,0.15
94,2.11864,160.429,1.21866,0.15
95,2.09212,65.6744,1.22186,0.15
96,2.08484,152.854,1.22508,0.15
97,2.09134,570.949,1.22831,0.15
98,2.09681,889.617,1.23154,0.15
99,2.11888,165.561,1.2348,0.15
100,2.1218,107.812,1.23806,0.15
101,2.11926,244.866,1.24133,0.15
102,2.13385,225.065,1.24461,0.15
103,2.12698,139.882,1.2479,0.15
104,2.10229,65.5017,1.2512,0.15
105,2.06137,50.5432,1.2545,0.15
106,2.03549,75.6157,1.25782,0.15
107,2.05756,260.703,1.26115,0.15
108,2.08029,96.0718,1.26449,0.15
109,2.107,95.7349,1.26784,0.15
110,2.10738,144.4,1.2712,0.15
111,2.12709,115.355,1.27457,0.15
112,2.12374,430.611,1.27795,0.15
113,2.131,126.311,1.28135,0.15
114,2.10843,92.8417,1.28475,0.15
115,2.11192,7987,1.28817,0.15
116,2.10912,257.093,1.2916,0.15
117,2.11615,83.5869,1.29504,0.15
118,2.13188,103.231,1.29849,0.15
119,2.14844,2269.36,1.30194,0.15
120,2.12498,68.8486,1.30541,0.15
121,2.12509,388.527,1.30889,0.15
122,2.12184,124.437,1.31238,0.15
123,2.12786,139.017,1.31587,0.15
124,2.13495,334.222,1.31938,0.15
125,2.16245,159.727,1.3229,0.15
126,2.15663,168.463,1.32643,0.15
127,2.17163,97.2375,1.32997,0.15
128,2.14413,122.873,1.33353,0.15
129,2.13293,191.736,1.3371,0.15
130,2.11604,143.628,1.34067,0.15
131,2.12881,401.798,1.34425,0.15
132,2.12437,178.698,1.34785,0.15
133,2.12144,59.897,1.35146,0.15
134,2.13955,279.038,1.35507,0.15
135,2.13026,67.9547,1.3587,0.15
136,2.13967,116.578,1.36233,0.15
137,2.13441,315.981,1.36598,0.15
138,2.1208,98.5637,1.36963,0.15
139,2.10311,63.0935,1.37329,0.15
140,2.10938,156.678,1.37697,0.15
141,2.10025,57.8491,1.38066,0.15
142,2.09796,127.397,1.38436,0.15
143,2.10714,609.639,1.38807,0.15
144,2.10591,2623.89,1.3918,0.15
145,2.06966,82.4828,1.39554,0.15
146,2.06456,126.939,1.39929,0.15
147,2.09171,817.647,1.40305,0.15
148,2.10812,102.176,1.40681,0.15
149,2.11622,403.216,1.41059,0.15
150,2.07955,45.8079,1.41438,0.15
151,2.09607,81.6587,1.41819,0.15
152,2.09197,60.6965,1.422,0.15
153,2.09294,167.374,1.42583,0.15
154,2.09965,522.837,1.42967,0.15
155,2.13913,2621.02,1.43352,0.15
156,2.15257,84.0601,1.43738,0.15
157,2.11256,58.6923,1.44125,0.15
158,2.10256,56.0691,1.44514,0.15
159,2.08445,118.484,1.44904,0.15
160,2.06141,43.9367,1.45295,0.15
161,2.06606,176.714,1.45687,0.15
162,2.07816,90.8042,1.4608,0.15
163,2.09975,259.952,1.46475,0.15
164,2.08507,66.7032,1.4687,0.15
165,2.07017,88.9762,1.47267,0.15
166,2.06869,67.4259,1.47665,0.15
167,2.08062,57.2917,1.48064,0.15
168,2.07565,66.8879,1.48464,0.15
169,2.06062,59.7192,1.48865,0.15
170,2.07412,279.309,1.49268,0.15
171,2.10404,779.441,1.49671,0.15
172,2.12523,399.795,1.50075,0.15
173,2.12041,170.53,1.50479,0.15
174,2.13163,6320.15,1.50885,0.15
175,2.14987,218.453,1.51292,0.15
176,2.16809,2665.64,1.517,0.15
177,2.14578,66.2024,1.5211,0.15
178,2.16219,79.7766,1.5252,0.15
179,2.16386,789.312,1.52932,0.15
180,2.14457,118.962,1.53345,0.15
181,2.12539,69.3793,1.53759,0.15
182,2.12869,108.431,1.54175,0.15
183,2.12209,112.836,1.54591,0.15
184,2.10471,118.119,1.5501,0.15
185,2.10398,1166.66,1.55429,0.15
186,2.09364,127.523,1.5585,0.15
187,2.10417,232.078,1.56272,0.15
188,2.11271,117.992,1.56695,0.15
189,2.12665,95.5749,1.57119,0.15
190,2.08738,45.9569,1.57545,0.15
191,2.07846,173.699,1.57972,0.15
192,2.07103,79.1356,1.584,0.15
193,2.07161,131.895,1.58829,0.15
194,2.06762,66.4451,1.5926,0.15
195,2.06151,114.057,1.59692,0.15
196,2.07912,322.305,1.60125,0.15
197,2.08045,159.948,1.60559,0.15
198,2.06688,127.762,1.60995,0.15
199,2.06825,262.355,1.61431,0.15
200,2.09544,106.595,1.61868,0.15
201,2.07243,59.3346,1.62307,0.15
202,2.08288,89.6368,1.62747,0.15
203,2.08834,107.985,1.63189,0.15
204,2.12301,2698.85,1.63631,0.15
205,2.14306,175.399,1.64075,0.15
206,2.14414,91.6935,1.6452,0.15
207,2.13361,116.859,1.64967,0.15
208,2.13858,451.308,1.65415,0.15
209,2.15972,631.537,1.65864,0.15
210,2.14767,113.267,1.66314,0.15
211,2.16005,166.074,1.66766,0.15
212,2.13058,201.602,1.67218,0.15
213,2.12,88.7034,1.67672,0.15
214,2.07641,51.0165,1.68127,0.15
215,2.06186,55.6724,1.68584,0.15
216,2.04498,57.7459,1.69042,0.15
217,2.03436,70.0168,1.69501,0.15
218,2.03339,282.677,1.69961,0.15
219,2.04117,91.3731,1.70423,0.15
220,2.04752,84.9381,1.70886,0.15
221,2.05058,203.802,1.7135,0.15
222,2.06067,23445.7,1.71815,0.15
223,2.04896,64.8425,1.72282,0.15
224,2.03855,1126.88,1.7275,0.15
225,2.03426,104.74,1.7322,0.15
226,2.06884,198.092,1.73691,0.15
227,2.08236,97.0967,1.74163,0.15
228,2.08309,177.735,1.74636,0.15
229,2.07562,118.162,1.7511,0.15
230,2.03104,57.0245,1.75586,0.15
231,2.01381,52.3016,1.76063,0.15
232,2.04574,263.003,1.76542,0.15
233,2.03467,362.12,1.77022,0.15
234,2.04666,982.421,1.77503,0.15
235,2.05689,665.661,1.77985,0.15
236,2.05643,1710.16,1.7847,0.15
237,2.05485,1132.11,1.78956,0.15
238,2.07578,3616.01,1.79443,0.15
239,2.08776,539.528,1.79932,0.15
240,2.06857,73.7049,1.80422,0.15
241,2.03833,61.9617,1.80913,0.15
242,2.03554,146.057,1.81405,0.15
243,2.02612,94.4912,1.81899,0.15
244,2.03742,110.011,1.82395,0.15
245,2.05987,107.567,1.82891,0.15
246,2.03325,72.9195,1.83389,0.15
247,2.00039,312.073,1.83889,0.15
248,2.02005,202.274,1.84391,0.15
249,2.02347,240.43,1.84893,0.15
250,1.99606,264.835,1.85397,0.15
251,1.99247,63.051,1.85902,0.15
252,1.95686,42.4491,1.86409,0.15
253,1.98465,259.341,1.86917,0.15
254,2.01661,119.376,1.87426,0.15
255,2.04986,308.696,1.87937,0.15
256,2.05705,2137.7,1.88448,0.15
