step,energy,beta,lambda,delta
0,1.41935,4.69532,1,0.9
1,0.0990429,8.4654,0.7939,0.9
2,0.120657,5.08695,0.735791,0.9
3,0.170969,17.1298,0.713179,0.9
4,0.394707,11.8763,0.744474,0.9
5,0.309134,42.757,0.804868,0.9
6,0.334253,31.4625,0.864149,0.9
7,0.411118,9.0459,0.936895,0.9
8,0.369333,38253.5,1.08708,0.9
9,0.343126,177.75,1.25285,0.9
10,0.152941,11.176,1.48611,0.9
11,0.232492,848.095,1.74464,0.9
12,0.112322,14.5085,2.09868,0.9
13,0.205227,50.3549,2.61105,0.9
14,0.159313,13.5532,3.17798,0.9
15,0.151905,20.6127,3.86809,0.9
16,0.142519,53.354,4.69868,0.9
17,0.128916,44.6542,5.79107,0.9
18,0.081686,61.069,7.10491,0.9
19,0.0865879,61.5475,8.63963,0.9
20,0.0413704,70.9212,10.7033,0.9
21,0.0282936,30.1116,13.3479,0.9
22,0.077919,47.4225,16.4341,0.9
23,0.0453911,498.865,20.2525,0.9
24,0.0589771,298.663,24.9783,0.9
25,0.021307,70.7669,31.213,0.9
26,0.0190811,83.6037,39.0098,0.9
27,0.0161343,339.945,48.8676,0.9
28,0.0194988,167.98,61.111,0.9
29,0.00974274,267.283,76.4649,0.9
