step,energy,beta,lambda,delta
0,3.84141,2.92248,1,0.9
1,2.92247,3.341,0.902725,0.9
2,2.11354,3.59551,0.864123,0.9
3,1.69373,5.66669,0.845244,0.9
4,1.1701,4.11965,0.833106,0.9
5,1.15468,4.27449,0.818077,0.9
6,1.9981,75.2833,0.828726,0.9
7,1.34833,2.06238,0.857405,0.9
8,0.773092,1.78505,0.885329,0.9
9,0.728987,3.36752,0.915953,0.9
10,2.29513,154.951,0.94397,0.9
11,1.56597,2.15643,0.983738,0.9
12,1.54381,5.33087,1.02783,0.9
13,1.14293,3.81552,1.07658,0.9
14,0.615356,1.91646,1.14003,0.9
15,1.90524,17.5453,1.21719,0.9
16,0.850046,5.19178,1.28943,0.9
17,1.74975,3.34727,1.36494,0.9
18,0.0719242,1.58181,1.45663,0.9
19,0.139647,11.5599,1.55628,0.9
20,0.63323,10.584,1.6675,0.9
21,0.544687,10.3012,1.78202,0.9
22,1.32723,21.3235,1.92208,0.9
23,1.27727,4.52237,2.07451,0.9
24,0.324432,1.97459,2.22864,0.9
25,0.862087,11.4385,2.39873,0.9
26,1.14728,2.63907,2.58081,0.9
27,0.816271,4.71923,2.78353,0.9
28,0.579844,3.60975,3.00039,0.9
29,0.494205,206.072,3.23872,0.9
30,0.210007,4.28748,3.50109,0.9
31,0.896919,7.7599,3.77726,0.9
32,0.184584,7.08134,4.09369,0.9
33,0.215014,17.9039,4.43527,0.9
34,0.524107,8.16464,4.80204,0.9
35,0.320028,5.30536,5.20315,0.9
36,0.362452,10.1895,5.64335,0.9
37,0.381954,10.3645,6.12017,0.9
38,0.264179,57.5743,6.64116,0.9
39,0.398525,7.51043,7.22732,0.9
40,0.184671,4.93085,7.85709,0.9
41,0.450565,13.3096,8.52935,0.9
42,0.435133,8.46785,9.26206,0.9
43,0.414772,82.9829,10.0694,0.9
44,0.449335,18.2279,10.9524,0.9
45,0.150873,11.538,11.9289,0.9
46,0.0827274,12.5113,12.9888,0.9
47,0.180643,51.1082,14.1449,0.9
48,0.284735,28.263,15.3987,0.9
49,0.181971,9.74465,16.7778,0.9
50,0.286011,22.2372,18.2742,0.9
51,0.204222,21.8851,19.9141,0.9
52,0.140284,195.2,21.7245,0.9
53,0.111526,16.8674,23.7026,0.9
54,0.124983,33.4187,25.8624,0.9
55,0.186415,14.0699,28.2293,0.9
56,0.216845,55.1704,30.8076,0.9
57,0.124012,31.1142,33.6645,0.9
58,0.057888,75.2356,36.7733,0.9
59,0.160334,207.939,40.1823,0.9
60,0.107897,30.4212,43.9041,0.9
61,0.031786,15.1005,47.9907,0.9
62,0.0474319,22.917,52.4547,0.9
63,0.0527229,55.7622,57.3572,0.9
64,0.0339642,38.7479,62.7397,0.9
65,0.0447483,38.4662,68.6408,0.9
66,0.0324993,97.6379,75.0901,0.9
67,0.0521336,57.9028,82.1772,0.9
68,0.0612221,55.2517,89.957,0.9
69,0.0773716,51.8904,98.4794,0.9
70,0.00727272,41.8759,107.8,0.9
