step,energy,beta,lambda,delta
0,2.95856,60.0397,1,0.5
1,2.63539,188.76,0.962709,0.5
2,2.61994,81.2434,0.952122,0.5
3,2.40807,36.5483,0.954915,0.5
4,2.35931,140.232,0.963368,0.5
5,2.05135,17.6575,0.977283,0.5
6,2.12484,296.36,0.994702,0.5
7,2.00154,22.2983,1.01504,0.5
8,2.10221,89.9647,1.03913,0.5
9,2.23168,1907.66,1.06359,0.5
10,2.14792,56.6369,1.09069,0.5
11,2.04334,84.7778,1.12033,0.5
12,1.90746,138.785,1.1506,0.5
13,1.80995,21.8165,1.18416,0.5
14,1.83929,41.6114,1.21842,0.5
15,1.75776,33.2008,1.2555,0.5
16,1.85641,58.535,1.29275,0.5
17,1.74633,36.0257,1.33135,0.5
18,1.81347,55.0973,1.37158,0.5
19,1.77116,26.887,1.41466,0.5
20,1.8328,114.891,1.45928,0.5
21,1.74552,51.6015,1.50503,0.5
22,1.72501,23.1272,1.55239,0.5
23,1.78041,112.941,1.60241,0.5
24,1.82317,87.9615,1.65321,0.5
25,1.76674,44.5234,1.70584,0.5
26,1.66895,28.6235,1.7607,0.5
27,1.74847,74.8061,1.8169,0.5
28,1.68414,42.4971,1.87479,0.5
29,1.71801,235.658,1.93578,0.5
30,1.68334,38.7876,1.99755,0.5
31,1.64051,39.3864,2.06185,0.5
32,1.59141,36.737,2.12867,0.5
33,1.46951,19.3569,2.19888,0.5
34,1.39831,31.8114,2.27192,0.5
35,1.36917,42.7191,2.34445,0.5
36,1.43447,190.306,2.4205,0.5
37,1.35295,22.2233,2.50003,0.5
38,1.37528,74.2798,2.58235,0.5
39,1.25097,20.5571,2.66714,0.5
40,1.29435,502.293,2.75403,0.5
41,1.19641,20.7285,2.84542,0.5
42,1.21042,49.7352,2.93898,0.5
43,1.2626,43.9135,3.03526,0.5
44,1.18806,39.3837,3.13547,0.5
45,1.16438,24.2237,3.23916,0.5
46,1.14881,25.8693,3.34634,0.5
47,1.08189,31.6104,3.45865,0.5
48,1.2814,183.905,3.57476,0.5
49,1.1827,213.671,3.69462,0.5
50,1.15012,40.6838,3.81849,0.5
51,1.05422,24.7526,3.94702,0.5
52,1.03348,183.468,4.08013,0.5
53,0.995787,31.817,4.2175,0.5
54,1.10745,349.106,4.35867,0.5
55,1.0678,42.9269,4.50267,0.5
56,1.07842,455.978,4.65285,0.5
57,0.999834,36.2823,4.8097,0.5
58,0.94001,36.998,4.97187,0.5
59,0.859169,32.2887,5.14226,0.5
60,0.77529,42.3504,5.31835,0.5
61,0.825798,67.829,5.49993,0.5
62,0.854986,73.2293,5.68536,0.5
63,0.80254,482.082,5.87995,0.5
64,0.896252,241.515,6.0797,0.5
65,0.879822,97.04,6.28798,0.5
66,0.798977,29.5535,6.5062,0.5
67,0.793623,133.461,6.73171,0.5
68,0.741182,54.7738,6.96318,0.5
69,0.753134,60.713,7.20161,0.5
70,0.750614,168.654,7.44937,0.5
71,0.752609,138.352,7.70453,0.5
72,0.717867,46.9414,7.97221,0.5
73,0.721422,154.015,8.24569,0.5
74,0.724705,365.154,8.53134,0.5
75,0.653025,33.5935,8.8283,0.5
76,0.665731,167.594,9.13072,0.5
77,0.626173,72.2615,9.44187,0.5
78,0.632704,61.531,9.76542,0.5
79,0.563929,96.1328,10.1035,0.5
80,0.53096,136.334,10.4581,0.5
81,0.537642,56.8902,10.8254,0.5
82,0.500858,68.7922,11.2058,0.5
83,0.463911,37.589,11.6027,0.5
84,0.475052,85.5639,12.0097,0.5
85,0.551107,265.453,12.4279,0.5
86,0.520884,64.2252,12.867,0.5
87,0.522793,340.253,13.3203,0.5
88,0.499121,689.182,13.7894,0.5
89,0.450298,44.6586,14.275,0.5
90,0.436329,83.0552,14.7826,0.5
91,0.465033,98.6518,15.3073,0.5
92,0.457739,247.681,15.8443,0.5
93,0.418076,59.3235,16.4038,0.5
94,0.394169,46.0938,16.9799,0.5
95,0.38587,66.5901,17.5831,0.5
96,0.357071,60.0605,18.2086,0.5
97,0.39057,869.024,18.8537,0.5
98,0.369791,103.449,19.5257,0.5
99,0.411154,294.266,20.2188,0.5
100,0.383959,426.787,20.9383,0.5
101,0.322899,94.7897,21.6893,0.5
102,0.277822,43.6989,22.4682,0.5
103,0.291513,109.306,23.2807,0.5
104,0.329605,398.476,24.1146,0.5
105,0.302347,85.6721,24.9861,0.5
106,0.27215,62.6715,25.8921,0.5
107,0.266638,77.3881,26.8305,0.5
108,0.271311,133.199,27.8002,0.5
109,0.294146,7268.18,28.8013,0.5
110,0.290699,333.18,29.8395,0.5
111,0.293016,679.27,30.914,0.5
112,0.215258,45.1352,32.0475,0.5
113,0.221565,95.7068,33.221,0.5
114,0.216637,136.965,34.4354,0.5
115,0.219372,120.924,35.6886,0.5
116,0.215164,1682.45,36.9907,0.5
117,0.238338,358.791,38.3351,0.5
118,0.244675,340.815,39.7281,0.5
119,0.254282,3119.88,41.1747,0.5
120,0.239758,1914.99,42.6754,0.5
121,0.265615,9200.22,44.2234,0.5
122,0.241756,352.57,45.8254,0.5
123,0.227011,176.183,47.4876,0.5
124,0.19883,307.392,49.2174,0.5
125,0.197515,239.881,51.0169,0.5
126,0.198557,155.806,52.8957,0.5
127,0.199766,1172.94,54.8406,0.5
128,0.196655,224.407,56.8481,0.5
129,0.193129,306.277,58.9248,0.5
130,0.195232,1154.51,61.0715,0.5
131,0.194242,180.703,63.2959,0.5
132,0.200275,468,65.5992,0.5
133,0.189363,196.957,67.9867,0.5
134,0.163477,177.427,70.4884,0.5
135,0.162867,233.598,73.0802,0.5
136,0.161304,397.105,75.7679,0.5
137,0.161133,647.153,78.5588,0.5
138,0.161087,484.474,81.458,0.5
139,0.148897,402.4,84.4807,0.5
140,0.142206,1911.17,87.608,0.5
141,0.138651,2857.77,90.8587,0.5
142,0.12999,564.218,94.2365,0.5
143,0.121954,221.192,97.7374,0.5
144,0.12639,486.147,101.364,0.5
145,0.121145,530.935,105.113,0.5
146,0.130087,704.393,109.005,0.5
147,0.138485,1443.45,113.026,0.5
148,0.129457,227.289,117.235,0.5
149,0.119371,303.453,121.608,0.5
150,0.10601,468.634,126.14,0.5
151,0.0964947,200.236,130.859,0.5
152,0.101976,665.228,135.758,0.5
153,0.110508,599.078,140.821,0.5
154,0.113892,812.796,146.074,0.5
155,0.107363,500.074,151.506,0.5
156,0.110735,1670.29,157.124,0.5
157,0.103245,265.681,162.996,0.5
158,0.0969086,1259.84,169.084,0.5
159,0.0957184,431.519,175.41,0.5
160,0.0997066,1090.87,181.959,0.5
161,0.0995731,1317.48,188.764,0.5
162,0.0866642,256.314,195.852,0.5
163,0.0805721,462.411,203.189,0.5
164,0.0798264,618.923,210.806,0.5
165,0.0820065,808.919,218.714,0.5
166,0.0756664,286.449,226.938,0.5
167,0.0706177,643.144,235.507,0.5
168,0.0814819,1143.12,244.353,0.5
169,0.0712013,411.716,253.544,0.5
170,0.0745621,6990.71,263.047,0.5
171,0.0655231,315.325,272.955,0.5
172,0.0674019,1589.37,283.21,0.5
173,0.0643978,1502.85,293.859,0.5
174,0.0661945,769.346,304.928,0.5
175,0.0646133,783.414,316.417,0.5
176,0.0641861,737.086,328.377,0.5
177,0.0626163,813.838,340.797,0.5
178,0.061058,2292.52,353.663,0.5
179,0.0601559,2460.17,366.986,0.5
180,0.0547352,332.139,380.814,0.5
181,0.0552845,810.708,395.176,0.5
182,0.0503368,401.179,410.136,0.5
183,0.0502224,3346.89,425.686,0.5
184,0.051775,1295.83,441.842,0.5
185,0.0538006,1138.81,458.587,0.5
186,0.0552711,1772.76,475.978,0.5
187,0.0509796,434.702,494.043,0.5
188,0.0456467,342.903,512.828,0.5
189,0.0477581,886.522,532.293,0.5
190,0.0499935,19506.9,552.454,0.5
191,0.0467453,2605.19,573.41,0.5
192,0.0464993,3549.22,595.192,0.5
193,0.0445404,685.803,617.76,0.5
194,0.0450935,878.101,641.151,0.5
195,0.0436153,2027.83,665.51,0.5
196,0.0421238,1834.08,690.805,0.5
197,0.0376682,555.607,717.1,0.5
198,0.0390301,1154.32,744.385,0.5
199,0.0364323,520.837,772.736,0.5
200,0.0407696,6490.35,802.102,0.5
201,0.039772,2372.97,832.564,0.5
202,0.0365543,1374.35,864.227,0.5
203,0.0381451,3154.01,897.11,0.5
204,0.036171,695.587,931.251,0.5
205,0.0381489,2622.11,966.682,0.5
206,0.0371475,996.469,1003.51,0.5
207,0.038166,4044.72,1041.68,0.5
208,0.0344276,903.39,1081.37,0.5
209,0.0364304,7391.75,1122.5,0.5
210,0.0313759,1120.45,1165.35,0.5
211,0.0284805,10383.2,1209.91,0.5
212,0.025528,2057.52,1256.15,0.5
213,0.02701,6432.12,1304.08,0.5
214,0.0299339,2702.65,1353.84,0.5
215,0.0276794,1401.26,1405.53,0.5
216,0.0275059,2726.05,1459.14,0.5
217,0.0283737,2722.18,1514.84,0.5
218,0.0281048,3778.16,1572.65,0.5
219,0.0255833,967.248,1632.74,0.5
220,0.0266342,2128.34,1695.13,0.5
221,0.0230465,885.748,1760,0.5
222,0.0240841,7687.1,1827.27,0.5
223,0.0253353,6014.16,1897.15,0.5
224,0.0230865,1271.75,1969.82,0.5
225,0.0221405,1998.1,2045.32,0.5
226,0.0221996,1766.66,2123.62,0.5
227,0.0176163,634.492,2205.19,0.5
228,0.0190182,1531.84,2289.75,0.5
229,0.0204868,7976.9,2377.55,0.5
230,0.0206909,3044.73,2468.63,0.5
231,0.0206585,3554.15,2563.31,0.5
232,0.0215492,11578,2661.48,0.5
233,0.02104,2272.53,2763.4,0.5
234,0.017889,1053.46,2869.35,0.5
235,0.0163937,1310.22,2979.39,0.5
236,0.0157375,1132.74,3093.76,0.5
237,0.0173264,2548.17,3212.41,0.5
238,0.0166607,1425.73,3335.69,0.5
239,0.0180168,8149.86,3463.58,0.5
240,0.0184231,17727.3,3596.28,0.5
241,0.0167484,3399.29,3734.3,0.5
242,0.0175114,4525.65,3877.57,0.5
243,0.0168018,11728.7,4026.33,0.5
244,0.016695,3286.89,4180.95,0.5
245,0.0157814,3639.13,4341.48,0.5
246,0.0158691,38555.7,4508.11,0.5
247,0.0142403,1276.02,4681.31,0.5
248,0.0141735,13896.1,4861.3,0.5
249,0.0140247,4483.21,5048.11,0.5
250,0.0150223,7059.04,5241.89,0.5
251,0.0145779,3821.93,5443.27,0.5
252,0.013979,4656.53,5652.52,0.5
253,0.0143013,145364,5869.73,0.5
254,0.0141296,5197.08,6095.29,0.5
255,0.0127945,2493.29,6329.68,0.5
256,0.0122795,3821.08,6573.07,0.5
257,0.0125999,5038.75,6825.81,0.5
258,0.0113487,3661.69,7088.32,0.5
259,0.0117283,5742.08,7360.94,0.5
260,0.0117493,6164.23,7644.13,0.5
261,0.0117207,16903.4,7938.22,0.5
262,0.010252,2073.53,8244.05,0.5
263,0.0105705,15030.8,8561.51,0.5
264,0.0110207,8462.13,8891.13,0.5
265,0.0110359,7015.93,9233.23,0.5
266,0.00917816,1781.66,9588.62,0.5
