step,energy,beta,lambda,delta
0,2.3717,535.625,1,0.25
1,2.30118,1543.15,0.977783,0.25
2,2.23706,154.393,0.969335,0.25
3,2.21791,213.427,0.969062,0.25
4,2.16413,120.988,0.972178,0.25
5,2.12325,100.651,0.977695,0.25
6,2.09805,240.263,0.985178,0.25
7,2.07874,241.511,0.993848,0.25
8,2.05317,806.963,1.00439,0.25
9,2.03107,145.628,1.01597,0.25
10,2.01432,135.178,1.02872,0.25
11,2.01407,1799.05,1.0425,0.25
12,1.99287,114.739,1.05695,0.25
13,1.96956,103.003,1.07227,0.25
14,1.97063,210.726,1.08795,0.25
15,1.95879,133.631,1.10434,0.25
16,1.95724,160.981,1.12144,0.25
17,1.98578,497.995,1.13913,0.25
18,1.96198,153.027,1.15703,0.25
19,1.92399,443.906,1.17513,0.25
20,1.9135,469.442,1.19356,0.25
21,1.90747,287.635,1.21242,0.25
22,1.91291,146.185,1.23175,0.25
23,1.87021,92.698,1.25183,0.25
24,1.85069,123.922,1.27232,0.25
25,1.83566,129.172,1.29352,0.25
26,1.85245,5814.54,1.31479,0.25
27,1.85566,145.037,1.33669,0.25
28,1.78474,87.4467,1.35937,0.25
29,1.79223,66074.3,1.38228,0.25
30,1.78403,94.8518,1.40545,0.25
31,1.78192,283.909,1.42899,0.25
32,1.81639,1718.25,1.45291,0.25
33,1.79141,113.443,1.47762,0.25
34,1.73686,74.174,1.50281,0.25
35,1.74298,203.825,1.52856,0.25
36,1.75796,524.198,1.55442,0.25
37,1.73547,104.994,1.58051,0.25
38,1.67735,61.5812,1.60716,0.25
39,1.68032,379.741,1.63475,0.25
40,1.67479,126.177,1.66287,0.25
41,1.69103,686.429,1.69101,0.25
42,1.68269,125.026,1.71988,0.25
43,1.62956,73.8287,1.75003,0.25
44,1.61445,186.141,1.7804,0.25
45,1.58209,73.3243,1.8115,0.25
46,1.58481,172.997,1.84307,0.25
47,1.57478,640.933,1.87538,0.25
48,1.53953,71.3009,1.90799,0.25
49,1.53763,101.159,1.94154,0.25
50,1.52671,135.963,1.97592,0.25
51,1.52172,192.047,2.01073,0.25
52,1.51269,1162.12,2.04579,0.25
53,1.48558,91.9494,2.08145,0.25
54,1.48374,149.544,2.11777,0.25
55,1.49237,578.253,2.15496,0.25
56,1.48267,341.058,2.19284,0.25
57,1.47006,203.031,2.23193,0.25
58,1.45081,130.46,2.27212,0.25
59,1.45986,477.046,2.31322,0.25
60,1.44373,835.33,2.35445,0.25
61,1.37811,162.872,2.39611,0.25
62,1.33136,98.635,2.4385,0.25
63,1.3048,163.484,2.48126,0.25
64,1.25663,308.502,2.52459,0.25
65,1.22514,89.1262,2.56913,0.25
66,1.22675,192.233,2.61435,0.25
67,1.22074,243.829,2.66043,0.25
68,1.21174,370.559,2.70706,0.25
69,1.20882,142.781,2.75536,0.25
70,1.15913,67.3662,2.80453,0.25
71,1.16714,184.438,2.85472,0.25
72,1.14533,88.099,2.90586,0.25
73,1.12671,83.2297,2.9589,0.25
74,1.13534,369.198,3.01203,0.25
75,1.12278,209.896,3.06658,0.25
76,1.10567,430.053,3.12223,0.25
77,1.10474,165.694,3.17908,0.25
78,1.09315,349.34,3.2365,0.25
79,1.05233,95.3221,3.29482,0.25
80,1.00957,74.0405,3.35457,0.25
81,1.00871,280.233,3.41569,0.25
82,0.999651,132.116,3.47787,0.25
83,1.00438,172.806,3.54218,0.25
84,1.00441,145.61,3.60736,0.25
85,0.988777,244.27,3.67391,0.25
86,0.971956,161.034,3.74071,0.25
87,0.966362,172.33,3.80887,0.25
88,0.957203,607.735,3.87884,0.25
89,0.968712,401.61,3.95067,0.25
90,0.940405,95.0705,4.02369,0.25
91,0.916908,326.304,4.09897,0.25
92,0.895435,203.664,4.17546,0.25
93,0.901178,285.621,4.25298,0.25
94,0.908503,1144.03,4.33248,0.25
95,0.884087,164.763,4.41371,0.25
96,0.875826,873.412,4.4963,0.25
97,0.863701,152.474,4.57992,0.25
98,0.873468,730.471,4.66505,0.25
99,0.844759,82.8683,4.75223,0.25
100,0.82608,239.415,4.84008,0.25
101,0.813839,117.082,4.92973,0.25
102,0.800045,156.007,5.0214,0.25
103,0.785034,335.139,5.11565,0.25
104,0.800556,4146.29,5.21093,0.25
105,0.782635,152.295,5.30716,0.25
106,0.784189,264.69,5.406,0.25
107,0.774668,301.084,5.50642,0.25
108,0.765257,128.364,5.60929,0.25
109,0.74667,260.643,5.71574,0.25
110,0.739674,159.863,5.82439,0.25
111,0.737928,247.603,5.93502,0.25
112,0.681095,57.3769,6.04835,0.25
113,0.689974,236.89,6.16424,0.25
114,0.694206,7341.59,6.28156,0.25
115,0.684422,124.474,6.40275,0.25
116,0.674105,96.064,6.5261,0.25
117,0.666821,194.972,6.6526,0.25
118,0.645981,94.4068,6.78316,0.25
119,0.637133,121.092,6.91466,0.25
120,0.648788,1544.54,7.0474,0.25
121,0.632755,150.966,7.18306,0.25
122,0.637178,1236.11,7.32128,0.25
123,0.624166,189.368,7.46194,0.25
124,0.627731,2151.53,7.60427,0.25
125,0.626635,172.883,7.75025,0.25
126,0.632574,264.168,7.89814,0.25
127,0.634729,21377,8.04986,0.25
128,0.596819,80.3235,8.20702,0.25
129,0.57897,125.71,8.3657,0.25
130,0.564299,159.79,8.52681,0.25
131,0.571011,1558.64,8.69118,0.25
132,0.552168,213.284,8.85833,0.25
133,0.553654,193.78,9.02943,0.25
134,0.553003,270.43,9.20394,0.25
135,0.541615,244.523,9.38303,0.25
136,0.53097,497.528,9.56658,0.25
137,0.515301,541.998,9.75423,0.25
138,0.519312,664.557,9.94382,0.25
139,0.522888,500.976,10.1372,0.25
140,0.502504,258.724,10.3361,0.25
141,0.511381,358.737,10.5389,0.25
142,0.513977,388.401,10.7467,0.25
143,0.489458,184.689,10.9586,0.25
144,0.481691,286.728,11.1742,0.25
145,0.480972,297.94,11.3936,0.25
146,0.477755,634.591,11.6172,0.25
147,0.455103,159.358,11.8468,0.25
148,0.431131,121.307,12.0828,0.25
149,0.423746,209.004,12.3222,0.25
150,0.418404,156.606,12.5665,0.25
151,0.423759,382.467,12.8153,0.25
152,0.418203,596.671,13.0685,0.25
153,0.419981,4378.42,13.3268,0.25
154,0.430914,1440.2,13.5881,0.25
155,0.422922,304.766,13.8541,0.25
156,0.424845,296.101,14.1257,0.25
157,0.412012,263.816,14.4041,0.25
158,0.422678,491.466,14.6892,0.25
159,0.404055,230.339,14.9834,0.25
160,0.409979,762.991,15.2811,0.25
161,0.400639,219.137,15.5833,0.25
162,0.391336,184.632,15.893,0.25
163,0.352089,92.5453,16.2127,0.25
164,0.360033,396.739,16.5397,0.25
165,0.358297,1025.04,16.8733,0.25
166,0.357321,241.476,17.2131,0.25
167,0.368067,12318.9,17.558,0.25
168,0.369501,809.6,17.911,0.25
169,0.350063,406.268,18.2713,0.25
170,0.333258,361.054,18.6396,0.25
171,0.334505,397.609,19.0155,0.25
172,0.331179,8550.07,19.3996,0.25
173,0.336927,6129.7,19.7887,0.25
174,0.325802,197.548,20.1877,0.25
175,0.329714,615.293,20.597,0.25
176,0.32654,698.351,21.0159,0.25
177,0.317215,197.366,21.4433,0.25
178,0.310339,618.486,21.8796,0.25
179,0.308601,327.95,22.3245,0.25
180,0.31764,5464.79,22.7779,0.25
181,0.312613,516.405,23.2385,0.25
182,0.30332,714.487,23.7094,0.25
183,0.295542,290.818,24.1913,0.25
184,0.29421,618.588,24.6827,0.25
185,0.285952,404.638,25.1852,0.25
186,0.280531,437.054,25.6983,0.25
187,0.287098,1551.76,26.2206,0.25
188,0.289574,1040.79,26.7528,0.25
189,0.279564,343.645,27.2959,0.25
190,0.275915,381.163,27.8525,0.25
191,0.270044,3106.06,28.4197,0.25
192,0.258879,223.537,29.0003,0.25
193,0.254591,512.316,29.5935,0.25
194,0.252373,1434.37,30.1981,0.25
195,0.249279,571.798,30.8181,0.25
196,0.246128,506.304,31.4496,0.25
197,0.241077,583.368,32.0948,0.25
198,0.24251,2150.62,32.754,0.25
199,0.243675,2301.94,33.4256,0.25
200,0.235437,455.386,34.1126,0.25
201,0.22611,266.632,34.816,0.25
202,0.220226,344.399,35.5375,0.25
203,0.211988,1041.38,36.2734,0.25
204,0.215509,965.088,37.0231,0.25
205,0.216871,1146.36,37.7862,0.25
206,0.21747,7346.81,38.5663,0.25
207,0.209057,1413.7,39.3665,0.25
208,0.206583,728.566,40.1822,0.25
209,0.207668,1132.46,41.0148,0.25
210,0.203352,917.639,41.8668,0.25
211,0.200188,1835.4,42.7404,0.25
212,0.202608,40378.8,43.6291,0.25
213,0.202026,1658.93,44.5374,0.25
214,0.204996,5692.13,45.4604,0.25
215,0.199923,609.356,46.4078,0.25
216,0.200567,1104.57,47.3706,0.25
217,0.193615,461.789,48.3522,0.25
218,0.187521,1948.54,49.3539,0.25
219,0.182583,668.311,50.3771,0.25
220,0.183416,7125.66,51.4266,0.25
221,0.180307,7302.9,52.5016,0.25
222,0.177187,641.774,53.6006,0.25
223,0.17627,1658.43,54.7197,0.25
224,0.172787,635.973,55.8692,0.25
225,0.172718,59244.9,57.0394,0.25
226,0.172991,2668.03,58.2309,0.25
227,0.171757,3775.03,59.4445,0.25
228,0.167212,680.075,60.6883,0.25
229,0.164104,997.188,61.962,0.25
230,0.162157,785.219,63.2646,0.25
231,0.156935,876.713,64.5955,0.25
232,0.158892,1516.81,65.9475,0.25
233,0.154072,863.704,67.3286,0.25
234,0.15312,1038.62,68.7392,0.25
235,0.148314,734.602,70.1857,0.25
236,0.146086,856.277,71.6638,0.25
237,0.146212,1492.43,73.1762,0.25
238,0.143038,772.217,74.7237,0.25
239,0.140314,1750.68,76.306,0.25
240,0.134573,436.005,77.9264,0.25
241,0.135889,1504.68,79.5758,0.25
242,0.135506,3250.41,81.2591,0.25
243,0.133524,1204.38,82.9783,0.25
244,0.136332,1888.81,84.7406,0.25
245,0.136131,1622.97,86.5416,0.25
246,0.133871,1292.71,88.3767,0.25
247,0.131674,1348.75,90.2488,0.25
248,0.126932,567.363,92.1638,0.25
249,0.125273,1109.02,94.1209,0.25
250,0.120321,695.99,96.1285,0.25
251,0.121971,1971.64,98.1763,0.25
252,0.120174,2489.28,100.272,0.25
253,0.121002,3261.44,102.416,0.25
254,0.112968,66074.3,104.615,0.25
255,0.112812,3629.7,106.862,0.25
256,0.112436,1368.55,109.149,0.25
257,0.114256,42759,111.478,0.25
258,0.111307,1065.46,113.857,0.25
259,0.10737,942.661,116.289,0.25
260,0.103899,953.604,118.777,0.25
261,0.104343,3953.59,121.311,0.25
262,0.103014,2160.73,123.904,0.25
263,0.101524,1352.55,126.556,0.25
264,0.102318,1398.7,129.26,0.25
265,0.0981445,589.549,132.031,0.25
266,0.0974293,1014.06,134.863,0.25
267,0.0943184,1860,137.766,0.25
268,0.0942898,1000.97,140.739,0.25
269,0.094286,1049.15,143.773,0.25
270,0.0936852,1406.22,146.872,0.25
271,0.0931931,4290.02,150.038,0.25
272,0.0935726,55909.1,153.274,0.25
273,0.0935059,2456.41,156.578,0.25
274,0.0942459,3358.99,159.956,0.25
275,0.0909882,907.37,163.405,0.25
276,0.0916195,16934.2,166.914,0.25
277,0.0884991,1612.37,170.509,0.25
278,0.0857105,1843.13,174.184,0.25
279,0.0849857,2480.44,177.944,0.25
280,0.0842323,2704.34,181.789,0.25
281,0.0842876,4674.03,185.709,0.25
282,0.084692,3893.8,189.712,0.25
283,0.0823841,9563.39,193.794,0.25
284,0.0825653,2891.37,197.97,0.25
285,0.0783863,805.366,202.26,0.25
286,0.0786114,3176.58,206.654,0.25
287,0.0772686,1513.01,211.137,0.25
288,0.074194,1119.51,215.709,0.25
289,0.073576,31646.2,220.369,0.25
290,0.0722923,1554.61,225.148,0.25
291,0.0711784,1572.78,230.029,0.25
292,0.0703468,1820.9,235.02,0.25
293,0.0686932,1690.25,240.115,0.25
294,0.0690784,3066.99,245.326,0.25
295,0.0674438,3764.78,250.657,0.25
296,0.0666656,10094.8,256.104,0.25
297,0.063797,850.389,261.684,0.25
298,0.0646572,2427.03,267.373,0.25
299,0.0623322,1140.21,273.21,0.25
300,0.0637302,11601.3,279.171,0.25
