step,energy,beta,lambda,delta
0,2.40308,44.2067,1,0.15
1,2.39106,142.286,0.997126,0.15
2,2.36189,74.9207,0.996008,0.15
3,2.35798,445.115,0.995781,0.15
4,2.37437,430.884,0.995921,0.15
5,2.34379,82.2292,0.996306,0.15
6,2.35638,207.538,0.996988,0.15
7,2.34229,11181.8,0.997891,0.15
8,2.32808,83.1557,0.998995,0.15
9,2.32153,132.017,1.00021,0.15
10,2.31867,91.6918,1.00152,0.15
11,2.30329,262.483,1.00287,0.15
12,2.30562,291.283,1.00437,0.15
13,2.32451,144.242,1.00595,0.15
14,2.31484,619.985,1.00759,0.15
15,2.28801,101.164,1.0093,0.15
16,2.28226,67.2124,1.01107,0.15
17,2.28933,221.887,1.01292,0.15
18,2.28469,112.109,1.0148,0.15
19,2.2784,74.5792,1.01672,0.15
20,2.26871,120.831,1.01871,0.15
21,2.26314,118.745,1.02077,0.15
22,2.24529,69.4034,1.02287,0.15
23,2.23506,128.036,1.025,0.15
24,2.22392,86.1438,1.02716,0.15
25,2.23995,109.644,1.02933,0.15
26,2.23982,73.0728,1.03153,0.15
27,2.23804,120.696,1.03375,0.15
28,2.24586,345.686,1.03599,0.15
29,2.23407,52.5163,1.03825,0.15
30,2.20884,60.3852,1.04055,0.15
31,2.21177,97.2568,1.04286,0.15
32,2.20993,7900.19,1.0452,0.15
33,2.22832,134.822,1.04756,0.15
34,2.17125,35.899,1.04994,0.15
35,2.17309,279.155,1.05234,0.15
36,2.19847,136.999,1.05477,0.15
37,2.19684,614.911,1.05721,0.15
38,2.20538,48.1074,1.05966,0.15
39,2.21022,146.66,1.06215,0.15
40,2.22944,1495.62,1.06467,0.15
41,2.21896,107.2,1.06719,0.15
42,2.21849,223.239,1.06974,0.15
43,2.22964,185.908,1.07231,0.15
44,2.23229,122.37,1.07489,0.15
45,2.23209,120.178,1.07748,0.15
46,2.2151,613.458,1.0801,0.15
47,2.19806,235.869,1.08271,0.15
48,2.18482,192.698,1.08534,0.15
49,2.19163,81.2746,1.08799,0.15
50,2.20343,192.313,1.09065,0.15
51,2.20747,120.068,1.09333,0.15
52,2.21732,206.666,1.09602,0.15
53,2.22178,89.8522,1.09872,0.15
54,2.21781,89.668,1.10144,0.15
55,2.21666,104.743,1.10418,0.15
56,2.23523,204.326,1.10692,0.15
57,2.2113,113.78,1.10968,0.15
58,2.20028,63.1765,1.11244,0.15
59,2.18891,50.7068,1.11521,0.15
60,2.2064,561.359,1.118,0.15
61,2.21605,128.607,1.1208,0.15
62,2.24352,236.899,1.12362,0.15
63,2.23752,391.91,1.12644,0.15
64,2.21667,123.895,1.12928,0.15
65,2.20284,84.9095,1.13214,0.15
66,2.20662,175.296,1.135,0.15
67,2.19079,67.6718,1.13788,0.15
68,2.2015,82.0143,1.14078,0.15
69,2.1984,158.5,1.1437,0.15
70,2.20386,85.4471,1.14662,0.15
71,2.20085,104.727,1.14955,0.15
72,2.21225,119.821,1.15249,0.15
