step,energy,beta,lambda,delta
0,2.85567,29.9308,1,0.5
1,2.77564,124.199,0.962709,0.5
2,2.67451,247.595,0.952447,0.5
3,2.60725,40.2629,0.955578,0.5
4,2.53298,135.759,0.964532,0.5
5,2.39514,40.2774,0.97833,0.5
6,2.32812,83.0049,0.995407,0.5
7,2.2513,27.3286,1.01399,0.5
8,2.25855,57.6005,1.03579,0.5
9,2.36847,244.594,1.05839,0.5
10,2.3823,38.9152,1.08339,0.5
11,2.01449,15.5338,1.11007,0.5
12,2.01616,55.4597,1.13883,0.5
13,1.86523,23.8507,1.16967,0.5
14,1.94769,594.777,1.20317,0.5
15,1.88168,134.279,1.23922,0.5
16,1.91991,29.4847,1.27536,0.5
17,1.9669,169.402,1.31197,0.5
18,1.9066,72.0683,1.35102,0.5
19,2.01037,305.115,1.39148,0.5
20,1.73714,2642.97,1.43419,0.5
21,1.69549,38.1028,1.47935,0.5
22,1.7375,31.9856,1.526,0.5
23,1.58486,14.2735,1.57406,0.5
24,1.77716,161.378,1.62337,0.5
25,1.62668,57.8971,1.67504,0.5
26,1.74469,52.4225,1.72718,0.5
27,1.7784,876.729,1.78117,0.5
28,1.66144,200.351,1.83644,0.5
29,1.63042,548.128,1.89533,0.5
30,1.51192,19.9018,1.9566,0.5
31,1.67116,100.861,2.01954,0.5
32,1.62497,41.547,2.08412,0.5
33,1.56221,59.3725,2.1503,0.5
34,1.41565,26.0211,2.22139,0.5
35,1.38168,43.5539,2.29405,0.5
36,1.53858,280.748,2.36765,0.5
37,1.4944,40.6682,2.44501,0.5
38,1.37233,31.4418,2.5253,0.5
39,1.3803,53.3661,2.60674,0.5
40,1.26926,20.1078,2.69173,0.5
41,1.13268,27.6658,2.78155,0.5
42,1.22888,86.9171,2.87232,0.5
43,1.10524,19.3613,2.96842,0.5
44,1.21304,83.1695,3.06719,0.5
45,1.22283,32.252,3.16955,0.5
46,1.21156,79.2957,3.27572,0.5
47,1.19408,75.8975,3.38611,0.5
48,0.999842,16.726,3.50257,0.5
49,1.03197,28.773,3.62333,0.5
50,1.052,67.1435,3.74617,0.5
51,1.11197,877.176,3.87199,0.5
52,0.982367,59.5314,4.00223,0.5
53,0.935598,29.7954,4.13813,0.5
54,0.940481,50.0639,4.27797,0.5
55,0.943359,41.4657,4.41964,0.5
56,0.875481,22.4638,4.56744,0.5
57,0.78573,16.5946,4.72227,0.5
58,0.797415,23.1886,4.88178,0.5
59,0.903318,158.171,5.04511,0.5
60,0.82102,34.6622,5.21621,0.5
61,0.779093,54.8134,5.39442,0.5
62,0.799927,37.1617,5.57899,0.5
63,0.821318,60.7839,5.7695,0.5
64,0.845938,58.7194,5.96646,0.5
65,0.872503,352.482,6.17043,0.5
66,0.735197,54.3873,6.38207,0.5
67,0.660027,31.8087,6.60368,0.5
68,0.7187,232.359,6.82919,0.5
69,0.708567,43.858,7.06267,0.5
70,0.686728,60.2849,7.30919,0.5
71,0.726562,80.9812,7.56309,0.5
72,0.580217,21.682,7.82727,0.5
73,0.623346,153.186,8.10064,0.5
74,0.584196,38.3984,8.38386,0.5
75,0.582624,48.1606,8.67846,0.5
76,0.522287,25.9779,8.98454,0.5
77,0.459316,33.2987,9.30128,0.5
78,0.547726,66.1936,9.62676,0.5
79,0.591862,124.634,9.96299,0.5
80,0.520226,68.5268,10.3135,0.5
81,0.469656,34.2388,10.68,0.5
82,0.51671,159.642,11.0535,0.5
83,0.493452,43.639,11.4435,0.5
84,0.472698,58.434,11.8474,0.5
85,0.476721,92.6038,12.2661,0.5
86,0.470604,79.7617,12.6999,0.5
87,0.489273,76.63,13.1444,0.5
88,0.475628,66.3692,13.6096,0.5
89,0.430162,44.4802,14.0943,0.5
90,0.466431,79.8774,14.5913,0.5
91,0.414047,41.7209,15.1141,0.5
92,0.443216,134.551,15.6523,0.5
93,0.390743,39.9654,16.2078,0.5
94,0.37426,60.9802,16.7833,0.5
95,0.437269,2859.83,17.3735,0.5
96,0.40967,153.514,17.9944,0.5
97,0.303146,29.8344,18.6422,0.5
98,0.349123,388.793,19.3023,0.5
99,0.366459,162.852,19.9892,0.5
100,0.347263,929.836,20.7004,0.5
101,0.358253,186.877,21.4337,0.5
102,0.386904,12319.1,22.1942,0.5
103,0.39304,725.144,22.9887,0.5
104,0.389475,346.089,23.8086,0.5
105,0.328485,83.1961,24.6611,0.5
106,0.322468,168.882,25.5476,0.5
107,0.278069,72.778,26.4708,0.5
108,0.265047,64.9084,27.4302,0.5
109,0.255941,77.274,28.427,0.5
110,0.284645,404.471,29.4565,0.5
111,0.275421,303.44,30.5216,0.5
112,0.292921,448.469,31.6234,0.5
113,0.299131,607.434,32.7682,0.5
114,0.260283,1166.67,33.9559,0.5
115,0.278612,129.281,35.184,0.5
116,0.275633,227.519,36.4594,0.5
117,0.26075,135.577,37.7796,0.5
118,0.253649,218.716,39.143,0.5
119,0.264261,321.733,40.5517,0.5
120,0.252802,1725.38,42.0149,0.5
121,0.227404,106.903,43.5399,0.5
122,0.223494,116.276,45.1331,0.5
123,0.193548,166.943,46.7946,0.5
124,0.190012,112.303,48.5134,0.5
125,0.200308,331.493,50.2921,0.5
126,0.17642,89.6322,52.1386,0.5
127,0.167011,1882.95,54.0586,0.5
128,0.18931,221.009,56.0389,0.5
129,0.177317,136.022,58.0885,0.5
130,0.174839,188.422,60.2121,0.5
131,0.1635,168.553,62.4318,0.5
132,0.156761,131.716,64.7355,0.5
133,0.169359,319.106,67.1175,0.5
134,0.161001,211.394,69.5903,0.5
135,0.165422,255.266,72.1535,0.5
136,0.147079,196.407,74.8227,0.5
137,0.140676,364.527,77.5956,0.5
138,0.150669,280.791,80.4656,0.5
139,0.147783,177.793,83.4509,0.5
140,0.150383,395.936,86.5444,0.5
141,0.13693,177.56,89.7453,0.5
142,0.132957,853.14,93.071,0.5
143,0.131218,321.259,96.5269,0.5
144,0.135977,253.123,100.124,0.5
145,0.121763,170.081,103.845,0.5
146,0.119852,263.461,107.715,0.5
147,0.11862,209.48,111.727,0.5
148,0.117891,2215.91,115.87,0.5
149,0.122078,752.704,120.173,0.5
150,0.118721,12321.1,124.644,0.5
151,0.110744,233.876,129.293,0.5
152,0.114746,1944.48,134.115,0.5
153,0.11314,613.936,139.098,0.5
154,0.112886,961.833,144.266,0.5
155,0.0969181,451.786,149.66,0.5
156,0.0961323,395.285,155.249,0.5
157,0.0941525,560.951,161.045,0.5
158,0.0991383,1543.48,167.052,0.5
159,0.0905666,282.29,173.314,0.5
160,0.0868397,622.567,179.794,0.5
161,0.0878658,2464.77,186.531,0.5
162,0.0897713,1987.18,193.516,0.5
163,0.0883312,573.65,200.766,0.5
164,0.0861416,2732.4,208.308,0.5
165,0.0760708,241.196,216.163,0.5
166,0.071867,371.835,224.324,0.5
167,0.0715504,586.567,232.77,0.5
168,0.0683537,520.961,241.547,0.5
169,0.0713634,533.263,250.643,0.5
170,0.0659103,332.059,260.102,0.5
171,0.0653191,652.003,269.902,0.5
172,0.0680752,2086.8,280.067,0.5
173,0.0771408,3063.11,290.586,0.5
174,0.0670757,341.168,301.5,0.5
175,0.0679817,2740.37,312.857,0.5
176,0.0644245,1041.57,324.645,0.5
177,0.0650082,803.252,336.924,0.5
178,0.0646038,14833,349.642,0.5
179,0.0649128,3055.5,362.788,0.5
180,0.060194,485.311,376.482,0.5
181,0.0603371,973.915,390.727,0.5
182,0.0518837,335.669,405.549,0.5
183,0.0528755,9318.17,420.864,0.5
184,0.0503311,638.109,436.767,0.5
185,0.0526161,1220.52,453.304,0.5
186,0.0482635,455.779,470.46,0.5
187,0.0515804,19725.4,488.246,0.5
188,0.0472794,1577.82,506.719,0.5
189,0.0480766,688.845,525.896,0.5
190,0.0478096,1243.48,545.841,0.5
191,0.0445271,867.185,566.591,0.5
192,0.0415325,529.549,588.172,0.5
193,0.0446014,1279.3,610.484,0.5
194,0.0468311,1904.84,633.65,0.5
195,0.0440884,1373.45,657.713,0.5
196,0.0424576,885.942,682.731,0.5
197,0.0400181,11537.5,708.706,0.5
198,0.0384235,755.077,735.707,0.5
199,0.0409584,3543.81,763.637,0.5
200,0.0395298,1317.82,792.712,0.5
201,0.0370426,806.801,822.858,0.5
202,0.0348167,2261.86,854.188,0.5
203,0.0370502,3971.7,886.715,0.5
204,0.0342827,752.403,920.471,0.5
205,0.037529,1718.73,955.497,0.5
206,0.0369816,1086.33,991.873,0.5
207,0.0331059,792.501,1029.68,0.5
208,0.0349255,2230.57,1068.92,0.5
209,0.027586,652.042,1109.72,0.5
210,0.03158,2406.35,1152,0.5
211,0.0329456,2787.48,1195.93,0.5
212,0.0343056,15661,1241.53,0.5
213,0.0314236,4683.05,1288.89,0.5
214,0.0261955,556.856,1338.15,0.5
215,0.0257816,3407.53,1389.3,0.5
216,0.0271893,1783.18,1442.32,0.5
217,0.0236244,1510.43,1497.49,0.5
218,0.0260696,2587.48,1554.74,0.5
219,0.0275116,2108.89,1614.12,0.5
220,0.0251846,947.562,1675.84,0.5
221,0.0261307,6353.63,1739.8,0.5
222,0.0252934,1366.73,1806.3,0.5
223,0.0247841,22101,1875.44,0.5
224,0.0252399,6864.91,1947.2,0.5
225,0.0249748,5676.08,2021.74,0.5
226,0.0255928,3834.79,2099.07,0.5
227,0.0253716,19996,2179.3,0.5
228,0.0230198,4142.71,2262.75,0.5
229,0.0213776,9331.36,2349.35,0.5
230,0.0211277,2293.68,2439.37,0.5
231,0.0210495,4548.15,2532.86,0.5
232,0.0216656,24228,2629.97,0.5
233,0.0199261,1202.69,2730.87,0.5
234,0.0209503,18280.2,2835.49,0.5
235,0.02001,1999.13,2944.2,0.5
236,0.0188618,3097.53,3057.14,0.5
237,0.0192394,3424.6,3174.45,0.5
238,0.0192184,3912.25,3296.25,0.5
239,0.0183296,61964.2,3422.66,0.5
240,0.0171528,1605.42,3554.03,0.5
241,0.017561,7184.31,3690.3,0.5
242,0.0154305,1182.57,3832.06,0.5
243,0.0164585,3761.03,3979.04,0.5
244,0.0161915,16151.7,4131.83,0.5
245,0.0149517,1596.96,4290.58,0.5
246,0.0142498,2144.44,4455.41,0.5
247,0.0149345,15802.2,4626.5,0.5
248,0.0155449,7331.52,4804.18,0.5
249,0.0143642,4671.14,4988.72,0.5
250,0.0131931,2233.48,5180.46,0.5
251,0.0138588,4261.17,5379.34,0.5
252,0.0134621,4514.02,5585.99,0.5
253,0.0135841,3533.15,5800.58,0.5
254,0.0127048,3971.26,6023.72,0.5
255,0.0131416,12522.8,6255.18,0.5
256,0.0135403,4060.89,6495.67,0.5
257,0.0136566,90852.2,6745.47,0.5
258,0.0127602,3700.4,7005.02,0.5
259,0.0132637,13483.6,7274.29,0.5
260,0.0118885,2135.67,7554.31,0.5
