step,energy,beta,lambda,delta
0,3.14522,19.2106,1,0.3
1,3.06049,1144.59,0.990832,0.3
2,3.05953,153.094,0.987787,0.3
3,3.09096,58.9918,0.986881,0.3
4,3.04705,34.9897,0.987594,0.3
5,3.01081,35.1944,0.989696,0.3
6,2.87441,887.446,0.992674,0.3
7,2.8819,37.091,0.996644,0.3
8,2.75658,37.9474,1.00079,0.3
9,2.85469,34.3545,1.00568,0.3
10,2.73652,20.4823,1.01078,0.3
11,2.63294,54.5934,1.01612,0.3
12,2.61662,31.9206,1.02184,0.3
13,2.49968,25.4305,1.02762,0.3
14,2.56409,20.911,1.03354,0.3
15,2.72811,30.5529,1.03964,0.3
16,2.76131,55.1,1.04608,0.3
17,2.75689,63.8507,1.05284,0.3
18,2.74031,27.531,1.05976,0.3
19,2.77462,156.669,1.06698,0.3
20,2.71364,17.7141,1.07454,0.3
21,2.62313,15.1493,1.08226,0.3
22,2.61948,27.3257,1.09012,0.3
23,2.66582,21.889,1.09816,0.3
24,2.64367,170.719,1.10623,0.3
25,2.65366,4750.44,1.11433,0.3
26,2.53147,23.8568,1.12247,0.3
27,2.4351,10.4514,1.13078,0.3
28,2.4914,108.899,1.13911,0.3
29,2.48831,47.0854,1.14763,0.3
30,2.54004,44.4795,1.15636,0.3
31,2.55129,16.8654,1.16516,0.3
32,2.4407,9.95085,1.17422,0.3
33,2.37574,17.301,1.18345,0.3
34,2.51685,33.8132,1.19272,0.3
35,2.6231,54.2912,1.20208,0.3
36,2.59427,20.3943,1.21148,0.3
37,2.54257,32.9039,1.22097,0.3
38,2.70243,53.9759,1.23055,0.3
39,2.70601,123.822,1.24025,0.3
40,2.54871,9.87052,1.25005,0.3
41,2.54857,19.5206,1.25997,0.3
42,2.64165,97.0549,1.26997,0.3
43,2.69152,35.8957,1.28005,0.3
44,2.68847,127.728,1.29023,0.3
45,2.67035,35.1554,1.30049,0.3
46,2.58818,19.5634,1.31086,0.3
47,2.60097,38.4419,1.32134,0.3
48,2.68124,30.729,1.33194,0.3
49,2.71324,24.385,1.34267,0.3
50,2.68903,143.197,1.35355,0.3
51,2.72188,31.9677,1.36461,0.3
52,2.79844,322.6,1.37576,0.3
53,2.76354,84.0311,1.38702,0.3
54,2.57928,12.173,1.39842,0.3
55,2.60533,27.3339,1.40988,0.3
56,2.62906,28.3053,1.4215,0.3
57,2.56184,16.8108,1.43324,0.3
58,2.52118,34.2068,1.44507,0.3
59,2.59025,104.821,1.45698,0.3
60,2.66315,97.78,1.46904,0.3
61,2.63784,57.3309,1.48121,0.3
62,2.65868,55.2833,1.49355,0.3
63,2.58153,33.0704,1.50598,0.3
64,2.61946,62.1259,1.51855,0.3
65,2.65659,36.2324,1.53126,0.3
66,2.38984,10.9835,1.54412,0.3
67,2.36779,213.456,1.55711,0.3
68,2.3766,79.7646,1.57017,0.3
69,2.39531,33.4395,1.58337,0.3
70,2.4784,89.946,1.59669,0.3
71,2.57767,53.1937,1.61016,0.3
72,2.51984,111.406,1.62379,0.3
73,2.53597,253.882,1.63755,0.3
74,2.56057,69.491,1.65143,0.3
75,2.60505,33.3096,1.66543,0.3
76,2.63463,50.1288,1.67955,0.3
77,2.52213,67.8953,1.6938,0.3
78,2.4982,28.2123,1.70827,0.3
79,2.61433,263.13,1.72286,0.3
80,2.64832,185.272,1.73754,0.3
81,2.45461,15.0933,1.75236,0.3
82,2.50738,121.283,1.7673,0.3
83,2.51935,26.7954,1.78237,0.3
84,2.51657,29.0599,1.79759,0.3
85,2.43228,16.871,1.81297,0.3
86,2.43518,747.111,1.82851,0.3
87,2.34331,27.3434,1.8442,0.3
88,2.4143,15.4021,1.86002,0.3
89,2.35662,257.372,1.87601,0.3
90,2.35543,35.1245,1.89215,0.3
91,2.38272,218.803,1.90845,0.3
92,2.36803,31.7191,1.92489,0.3
93,2.27499,20.834,1.9415,0.3
94,2.14995,18.0956,1.95828,0.3
95,2.15898,53.5533,1.97521,0.3
96,2.21887,1747.16,1.9923,0.3
97,2.1979,55.8087,2.00955,0.3
98,2.09424,15.4221,2.02696,0.3
99,2.10748,650.115,2.04454,0.3
100,1.97085,18.1277,2.06229,0.3
101,1.865,13.8152,2.08018,0.3
102,1.90749,14.6397,2.09826,0.3
103,2.01043,583.789,2.11651,0.3
104,1.98889,55.2829,2.13489,0.3
105,2.19301,125.397,2.15339,0.3
106,2.08313,14.6567,2.1721,0.3
107,1.89786,8.93256,2.19101,0.3
108,1.85193,13.1181,2.21008,0.3
109,1.93554,22.1413,2.22932,0.3
110,1.80273,8.38411,2.24879,0.3
111,1.79465,17.8715,2.26839,0.3
112,1.7794,12.5202,2.28819,0.3
113,1.83354,12.8822,2.30818,0.3
114,1.85789,28.5433,2.32836,0.3
115,1.80485,33.1347,2.34872,0.3
116,1.89009,112.673,2.36924,0.3
117,1.90374,30.5987,2.38995,0.3
118,1.97538,28.1829,2.41089,0.3
119,1.92173,35.8332,2.43206,0.3
120,1.76604,12.3123,2.4534,0.3
121,1.84792,96.3469,2.47493,0.3
122,1.80495,14.5399,2.49667,0.3
123,1.71846,22.5253,2.51864,0.3
124,1.72321,31.2339,2.54081,0.3
125,1.76088,24.4069,2.5632,0.3
126,1.7536,24.4596,2.58575,0.3
127,1.63993,19.1078,2.60849,0.3
128,1.67397,45.0459,2.63143,0.3
129,1.60595,7.80979,2.65465,0.3
130,1.69782,39.4591,2.67805,0.3
131,1.78083,103.232,2.70165,0.3
132,1.79934,23.7822,2.72551,0.3
133,1.74379,44.7612,2.74953,0.3
134,1.66786,134.422,2.77378,0.3
135,1.68378,23.4788,2.7983,0.3
136,1.84523,41.2743,2.82295,0.3
137,1.85546,24.9287,2.84783,0.3
138,1.68728,120.505,2.87294,0.3
139,1.58848,22.7711,2.89831,0.3
140,1.533,169.976,2.92395,0.3
141,1.53915,100.468,2.9498,0.3
142,1.56785,21.8037,2.97589,0.3
143,1.50792,99.9168,3.00223,0.3
144,1.55253,22.7877,3.02883,0.3
145,1.6037,54.0101,3.05565,0.3
146,1.54795,22.8969,3.08271,0.3
147,1.51294,17.5732,3.11001,0.3
148,1.47928,30.816,3.13759,0.3
149,1.65525,119.323,3.16532,0.3
150,1.63554,42.0266,3.19331,0.3
151,1.53359,10.3655,3.22164,0.3
152,1.47991,13.8156,3.25022,0.3
153,1.30005,13.1221,3.27909,0.3
154,1.39425,25.1363,3.30825,0.3
155,1.25377,32.7943,3.33767,0.3
156,1.41034,95.8067,3.36731,0.3
157,1.48268,70.7132,3.39721,0.3
158,1.45388,106.012,3.42736,0.3
159,1.44982,69.1225,3.45783,0.3
160,1.40159,29.609,3.48859,0.3
161,1.48915,417.709,3.51965,0.3
162,1.38123,10.5896,3.55099,0.3
163,1.45294,14.2483,3.58266,0.3
164,1.55192,31.1499,3.61462,0.3
165,1.56953,33.6769,3.64685,0.3
166,1.56759,15.5827,3.67931,0.3
167,1.68379,692.207,3.71203,0.3
168,1.53511,13.6843,3.74506,0.3
169,1.46733,181.614,3.77844,0.3
170,1.38279,25.9314,3.81212,0.3
171,1.36012,11.186,3.84611,0.3
172,1.36548,17.0106,3.88043,0.3
173,1.25389,43.8661,3.91509,0.3
174,1.30504,905.127,3.95001,0.3
175,1.28202,16.2767,3.98524,0.3
176,1.22433,13.0415,4.02083,0.3
177,1.09253,21.7447,4.05676,0.3
178,1.091,49.0354,4.09305,0.3
179,1.03096,12.5022,4.1297,0.3
180,1.10301,54.9235,4.1666,0.3
181,1.22431,19.136,4.20379,0.3
182,1.35007,49.6968,4.24125,0.3
183,1.28242,20.7913,4.27908,0.3
184,1.18643,23.1561,4.31726,0.3
185,1.34401,47.7196,4.3557,0.3
186,1.2842,23.4127,4.39452,0.3
187,1.47429,104.577,4.43361,0.3
188,1.40045,32.4395,4.47308,0.3
189,1.44211,1227.73,4.51292,0.3
190,1.429,104.314,4.55318,0.3
191,1.37842,19.7757,4.59384,0.3
192,1.28403,12.1392,4.63489,0.3
193,1.3836,23.6305,4.67631,0.3
194,1.25939,14.0033,4.71819,0.3
195,1.17683,21.3314,4.76047,0.3
196,1.19524,15.9598,4.80313,0.3
197,1.20917,200.336,4.84617,0.3
198,1.3031,105.957,4.88959,0.3
199,1.41665,72.0682,4.93332,0.3
200,1.37079,17.8622,4.97747,0.3
201,1.3388,109.577,5.02206,0.3
202,1.48029,96.0161,5.06697,0.3
203,1.45017,23.7505,5.11229,0.3
204,1.51982,630.921,5.15803,0.3
205,1.42025,19.1693,5.20416,0.3
206,1.3765,43.5651,5.25076,0.3
207,1.29099,246.379,5.29788,0.3
208,1.31348,21.7066,5.34536,0.3
209,1.3924,22.992,5.39319,0.3
210,1.41377,202.894,5.44151,0.3
211,1.32303,22.6195,5.49032,0.3
212,1.42088,181.621,5.53951,0.3
213,1.36819,20.9951,5.58913,0.3
214,1.39769,34.7188,5.63921,0.3
215,1.35585,57.0623,5.68976,0.3
216,1.25947,382.357,5.7408,0.3
217,1.36311,44.5429,5.7922,0.3
218,1.35501,35.1849,5.84407,0.3
219,1.46916,419.493,5.89641,0.3
220,1.2817,17.6311,5.94935,0.3
221,1.37205,800.46,6.00266,0.3
222,1.34945,58.022,6.05647,0.3
223,1.36718,31.1276,6.11075,0.3
224,1.28654,18.3336,6.16557,0.3
225,1.21679,14.8956,6.22093,0.3
226,1.19826,46.3459,6.27679,0.3
227,1.14941,18.1194,6.33316,0.3
228,1.16933,43.3572,6.39,0.3
229,1.17871,31.427,6.44738,0.3
230,1.21536,32.7517,6.50533,0.3
231,1.28755,660.743,6.56372,0.3
232,1.21501,12.9336,6.62271,0.3
233,1.24361,22.9085,6.68222,0.3
234,1.09929,10.1963,6.74236,0.3
235,1.14312,597.221,6.80301,0.3
236,1.19071,156.732,6.86421,0.3
237,1.14788,31.7631,6.92589,0.3
238,1.03999,18.4725,6.98822,0.3
239,1.11146,57.0152,7.05107,0.3
240,1.03077,17.0162,7.11455,0.3
241,1.16773,124.009,7.17856,0.3
242,1.17063,43.8763,7.24317,0.3
243,1.06378,17.3983,7.30843,0.3
244,1.04858,39.1197,7.37435,0.3
245,0.916891,21.7847,7.44089,0.3
246,0.967537,25.8166,7.50797,0.3
247,1.06304,30.6821,7.57556,0.3
248,1.07439,20.1382,7.64369,0.3
249,1.04594,20.8773,7.71247,0.3
250,1.06115,52.776,7.78188,0.3
251,1.04415,17.135,7.85195,0.3
252,0.966299,92.2034,7.92268,0.3
253,0.980997,23.7254,7.9941,0.3
254,0.969015,25.3194,8.06618,0.3
255,0.979244,264.297,8.13886,0.3
256,1.01606,38.15,8.21209,0.3
257,1.1581,54.564,8.28584,0.3
258,1.21014,87.7716,8.36023,0.3
259,1.15958,41.0798,8.43537,0.3
260,1.11691,82.2323,8.51128,0.3
261,1.20066,449.487,8.58785,0.3
262,1.22245,37.7446,8.66512,0.3
263,1.05797,14.6754,8.74335,0.3
264,1.13794,42.7064,8.82213,0.3
265,1.08406,30.9935,8.90175,0.3
266,0.941496,14.3989,8.9822,0.3
267,0.890253,36.1395,9.06339,0.3
268,0.916216,212.02,9.14519,0.3
269,1.00731,373.877,9.2276,0.3
270,0.978928,31.3166,9.3109,0.3
271,0.871048,13.9004,9.39501,0.3
272,0.825506,72.8115,9.47991,0.3
273,0.774616,20.6087,9.56558,0.3
274,0.837564,30.2695,9.65198,0.3
275,0.865694,50.3921,9.739,0.3
276,0.898186,54.1995,9.82671,0.3
277,0.92659,30.1614,9.91521,0.3
278,0.941013,143.162,10.0045,0.3
279,0.955318,107.137,10.0946,0.3
280,0.929722,55.3143,10.1854,0.3
281,0.953798,42.0879,10.2771,0.3
282,0.95536,112.283,10.3696,0.3
283,0.926531,32.7354,10.463,0.3
284,0.851955,59.8395,10.5575,0.3
285,0.826838,312.475,10.6528,0.3
286,0.843548,66.89,10.7489,0.3
287,0.782724,20.5274,10.8461,0.3
288,0.829716,38.1371,10.9441,0.3
289,0.931761,102.68,11.0428,0.3
290,0.980463,95.4734,11.1423,0.3
291,0.935726,53.3791,11.2427,0.3
292,0.990784,296.056,11.3441,0.3
293,0.955715,1057.96,11.4464,0.3
294,0.867279,30.1937,11.5498,0.3
295,0.76317,29.0899,11.6542,0.3
296,0.815622,239.844,11.7595,0.3
297,0.831825,38.8303,11.8658,0.3
298,0.740942,82.1233,11.9732,0.3
299,0.708532,22.8659,12.0818,0.3
300,0.685326,133.386,12.1913,0.3
301,0.668848,36.2936,12.3019,0.3
302,0.597221,26.1177,12.4136,0.3
