step,energy,beta,lambda,delta
0,1.48602,24.8259,1,0.9
1,0.184996,6.61756,0.7939,0.9
2,0.0757103,18.6541,0.715147,0.9
3,0.133801,3.75557,0.684222,0.9
4,0.452923,9.81758,0.67863,0.9
5,0.271957,9.84704,0.762513,0.9
6,0.57255,60.8564,0.922656,0.9
7,0.184147,10.3279,1.0809,0.9
8,0.0555935,4.50785,1.25936,0.9
9,0.241493,7.69373,1.44128,0.9
10,0.284695,27.7618,1.7043,0.9
11,0.175907,49.241,2.05002,0.9
12,0.149523,15.0103,2.45769,0.9
13,0.221054,18.6023,2.86327,0.9
14,0.147259,11.9994,3.43221,0.9
15,0.161524,82.8152,4.08,0.9
16,0.176876,32.6437,4.9187,0.9
17,0.0823002,63.9042,6.00678,0.9
18,0.0788136,31.0232,7.27481,0.9
19,0.0985222,108.434,8.81283,0.9
20,0.041256,37.3228,10.9783,0.9
21,0.111866,149.666,13.687,0.9
22,0.0412064,75.05,16.8831,0.9
23,0.0453701,66.576,20.8288,0.9
24,0.0612164,135.07,25.7303,0.9
25,0.0271358,117.159,31.9746,0.9
26,0.0278378,1373.95,39.7669,0.9
27,0.0275288,105.766,49.7427,0.9
28,0.0243969,365.943,62.1678,0.9
29,0.0182877,776.375,77.2353,0.9
30,0.0162945,137.992,96.1191,0.9
31,0.0125656,484.219,120.137,0.9
32,0.0124969,948.294,150.259,0.9
33,0.00766945,353.061,188.319,0.9
