step,energy,beta,lambda,delta
0,3.1315,34.6379,1,0.7
1,2.14777,25.8741,0.883122,0.7
2,1.28191,5.78574,0.853186,0.7
3,1.27799,8.75227,0.847525,0.7
4,1.60694,118.761,0.882561,0.7
5,1.9602,36.611,0.931545,0.7
6,1.23537,5.95967,0.987263,0.7
7,1.75084,341.871,1.05744,0.7
8,1.20297,5.8309,1.14959,0.7
9,1.46364,11.0988,1.25094,0.7
10,1.00274,18.743,1.38233,0.7
11,1.10439,10.3131,1.51494,0.7
12,1.57944,51.5014,1.66182,0.7
13,1.28437,15.2247,1.82812,0.7
14,0.609385,5.13625,2.02022,0.7
15,0.813417,34.6681,2.24695,0.7
16,0.383741,5.04577,2.51095,0.7
17,0.704063,15.0473,2.78413,0.7
18,0.834335,12.2577,3.09949,0.7
19,0.633411,10.953,3.45287,0.7
20,0.546495,63.0114,3.85215,0.7
21,0.764994,29.1408,4.29881,0.7
22,0.487034,15.9486,4.79539,0.7
23,0.508299,24.8987,5.36391,0.7
24,0.526293,32.3124,6.0006,0.7
25,0.369059,20.4119,6.73473,0.7
26,0.352694,24.2101,7.56958,0.7
27,0.260256,12.1502,8.48891,0.7
28,0.353662,26.7598,9.52461,0.7
29,0.201712,13.6029,10.6828,0.7
30,0.319155,37.7131,11.965,0.7
31,0.244198,22.2098,13.4377,0.7
32,0.260128,80.8904,15.1186,0.7
33,0.287281,81.7548,16.9946,0.7
34,0.214119,71.9076,19.1003,0.7
35,0.236036,101.028,21.4702,0.7
36,0.12657,20.163,24.1756,0.7
37,0.167519,79.5562,27.1958,0.7
38,0.148596,41.5757,30.5846,0.7
39,0.130772,49.6215,34.441,0.7
40,0.134228,433.953,38.7396,0.7
41,0.155958,78.368,43.5978,0.7
42,0.135612,126.527,49.129,0.7
43,0.126757,70.8084,55.3747,0.7
44,0.121546,373.244,62.4432,0.7
45,0.118284,1892.75,70.3532,0.7
46,0.0861588,3092.84,79.3924,0.7
47,0.0807076,78.4795,89.5485,0.7
48,0.0673256,179.971,101.066,0.7
49,0.0515156,80.6293,114.109,0.7
50,0.0479507,152.126,128.873,0.7
51,0.0472221,129.559,145.536,0.7
52,0.0604458,504.963,164.317,0.7
53,0.0715981,1991.52,185.55,0.7
54,0.0460415,182.709,209.579,0.7
55,0.0550556,612.887,236.761,0.7
56,0.0451508,216.803,267.527,0.7
57,0.0401611,248.678,302.418,0.7
58,0.0395927,279.595,341.669,0.7
59,0.0306644,924.322,386.051,0.7
60,0.0255146,283.827,436.377,0.7
61,0.0338936,832.674,493.13,0.7
62,0.0275192,227.003,557.406,0.7
63,0.0387611,1645.72,629.877,0.7
64,0.027483,366.092,712.26,0.7
65,0.026844,501.628,805.387,0.7
66,0.0235271,42754,910.813,0.7
67,0.0206623,745.329,1029.9,0.7
68,0.0229149,1320.59,1164.66,0.7
69,0.0262699,4047.8,1316.8,0.7
70,0.0222244,2530.28,1488.94,0.7
71,0.0176754,595.399,1683.97,0.7
72,0.0175228,919.92,1904.78,0.7
73,0.0171299,912.577,2154.67,0.7
74,0.0161781,12532.1,2437.71,0.7
75,0.0133629,733.816,2758.29,0.7
76,0.0116997,4845.46,3121.04,0.7
77,0.0103436,145363,3531.45,0.7
78,0.0102386,1181.01,3996.32,0.7
79,0.0132999,5006.05,4521.94,0.7
80,0.0098877,2578.24,5118.25,0.7
