step,energy,beta,lambda,delta
0,0.810915,2.83404,1,0.9
1,0.484957,76.2757,0.7939,0.9
2,0.209593,6.15265,0.676065,0.9
3,0.474737,12.6247,0.673189,0.9
4,0.147287,16.8902,0.711959,0.9
5,0.155979,107.216,0.783685,0.9
6,0.433458,8.30235,0.897194,0.9
7,0.47522,238.457,0.997436,0.9
8,0.202822,10.5606,1.15263,0.9
9,0.312832,5.92186,1.41114,0.9
10,0.281866,8.33627,1.74453,0.9
11,0.211348,117.112,2.13268,0.9
12,0.09021,21.0057,2.62414,0.9
13,0.126612,34.2155,3.15517,0.9
14,0.062149,36.6712,3.82606,0.9
15,0.0989647,18.4678,4.62289,0.9
16,0.100222,210.979,5.64673,0.9
17,0.0837784,35.895,7.01709,0.9
18,0.0995026,58.8643,8.5798,0.9
19,0.101833,54.6676,10.5603,0.9
20,0.0275078,57.8668,13.0853,0.9
21,0.0247078,31.8136,16.217,0.9
22,0.0232353,27.5206,20.207,0.9
23,0.0527058,76.7911,25.0701,0.9
24,0.020607,173.226,31.0924,0.9
25,0.014349,154.305,38.8626,0.9
26,0.0179462,5266.79,48.4355,0.9
27,0.0116081,119.603,60.5246,0.9
28,0.0171871,530.553,75.5803,0.9
29,0.0262966,211.412,94.6046,0.9
30,0.0097847,3146.4,118.461,0.9
