step,energy,beta,lambda,delta
0,3.25757,42.7354,1,0.3
1,3.17792,113.768,0.990832,0.3
2,3.05625,44.7757,0.989991,0.3
3,3.06902,117.034,0.989527,0.3
4,2.96798,20.6577,0.991667,0.3
5,2.97164,109.061,0.995293,0.3
6,2.94924,45.7124,0.999493,0.3
7,2.91331,30.9726,1.0038,0.3
8,2.82334,52.3878,1.0084,0.3
9,2.79679,29.3826,1.01328,0.3
10,2.74808,26.6964,1.0188,0.3
11,2.8068,1002.51,1.02435,0.3
12,2.85961,2383.01,1.03055,0.3
13,2.9257,40.9386,1.03667,0.3
14,2.88521,34.0521,1.04292,0.3
15,2.89188,27.9628,1.04948,0.3
16,2.8971,25.297,1.056,0.3
17,2.97323,42.4963,1.0626,0.3
18,2.91801,87.84,1.06944,0.3
19,2.97532,49.1549,1.07636,0.3
20,2.85814,16.9785,1.08352,0.3
21,2.81746,17.9752,1.09092,0.3
22,2.80622,49.3495,1.09849,0.3
23,2.80803,81.6162,1.10622,0.3
24,2.61608,9.44794,1.11418,0.3
25,2.75859,64.9575,1.12221,0.3
26,2.70483,24.3506,1.13036,0.3
27,2.6823,25.9931,1.13883,0.3
28,2.62056,14.2118,1.14736,0.3
29,2.69445,28.5764,1.15599,0.3
30,2.72593,98.5991,1.1647,0.3
31,2.64397,12.9459,1.17347,0.3
32,2.69657,92.4683,1.18236,0.3
33,2.73789,278.677,1.19129,0.3
34,2.833,62.657,1.20036,0.3
35,2.85728,54.3255,1.20958,0.3
36,2.74294,18.9009,1.21888,0.3
37,2.71866,35.5624,1.22825,0.3
38,2.60434,14.4403,1.23774,0.3
39,2.56515,11.5836,1.24725,0.3
40,2.53737,43.6161,1.2569,0.3
41,2.55205,21.5059,1.26674,0.3
42,2.58133,164.32,1.27678,0.3
43,2.60295,19.3324,1.28691,0.3
44,2.65628,33.2311,1.29715,0.3
45,2.71118,51.241,1.30754,0.3
46,2.77269,115.358,1.31804,0.3
47,2.59279,16.3567,1.32867,0.3
48,2.61334,63.1363,1.33937,0.3
49,2.65596,31.0905,1.35021,0.3
50,2.59737,18.3235,1.36115,0.3
51,2.52688,39.6506,1.37217,0.3
52,2.47808,134.347,1.38329,0.3
53,2.51853,160.804,1.39455,0.3
54,2.56082,154.479,1.40592,0.3
55,2.49201,116.757,1.41738,0.3
56,2.52554,195.212,1.42891,0.3
57,2.50245,27.8051,1.44062,0.3
58,2.54222,23.0572,1.45245,0.3
59,2.49373,13.848,1.46443,0.3
60,2.43722,30.5643,1.47651,0.3
61,2.54745,75.7266,1.48874,0.3
62,2.48372,35.5105,1.50108,0.3
63,2.5094,27.7677,1.51354,0.3
64,2.53405,56.2984,1.52615,0.3
65,2.46119,15.794,1.53883,0.3
66,2.33355,13.6489,1.55164,0.3
67,2.32889,32.8745,1.56456,0.3
68,2.37135,33.9501,1.57761,0.3
69,2.35046,49.5758,1.59078,0.3
70,2.24778,22.3933,1.60407,0.3
71,2.33786,51.2054,1.61752,0.3
72,2.35118,52.8694,1.6311,0.3
73,2.39265,28.8473,1.64481,0.3
74,2.24568,39.2806,1.65865,0.3
75,2.15607,14.9969,1.67266,0.3
76,2.06896,15.9987,1.6868,0.3
77,2.0554,16.8635,1.70108,0.3
78,2.00851,26.5669,1.71549,0.3
79,2.11296,360.002,1.73003,0.3
80,2.12415,187.721,1.74475,0.3
81,1.95275,17.5155,1.75965,0.3
82,1.89457,12.6814,1.77466,0.3
83,1.60905,11.3858,1.78981,0.3
84,1.67652,24.7169,1.80508,0.3
85,1.8571,430.967,1.82053,0.3
86,1.98631,26.8628,1.83613,0.3
87,2.10918,29.4662,1.85187,0.3
88,2.04285,35.4037,1.8678,0.3
