step,energy,beta,lambda,delta
153,0.107513,91.4097,124.365,0.5
154,0.121975,160.555,128.887,0.5
155,0.115896,69.1837,133.576,0.5
156,0.124649,158.768,138.434,0.5
157,0.101431,131.07,143.469,0.5
158,0.0801144,184.546,148.687,0.5
159,0.0795097,365.664,154.097,0.5
160,0.0541763,138.419,159.706,0.5
161,0.0783901,67.7633,165.516,0.5
162,0.0737705,117.978,171.545,0.5
163,0.0842533,71.6778,177.794,0.5
164,0.104658,825.522,184.263,0.5
165,0.114628,70.544,190.974,0.5
166,0.123199,3494.31,197.933,0.5
167,0.0948067,42.659,205.151,0.5
168,0.0533962,38.908,212.635,0.5
169,0.0529327,177.038,220.396,0.5
170,0.062151,318.701,228.443,0.5
171,0.0639,116.661,236.781,0.5
172,0.0951157,402.89,245.423,0.5
173,0.10466,1384.41,254.38,0.5
174,0.115564,743.168,263.668,0.5
175,0.099514,149.216,273.3,0.5
176,0.074894,154.606,283.29,0.5
177,0.0661201,90.0236,293.649,0.5
178,0.052248,125.797,304.389,0.5
179,0.0573387,206.466,315.523,0.5
180,0.0611286,165.329,327.065,0.5
181,0.0351315,64.5871,339.035,0.5
182,0.0360546,112.437,351.445,0.5
183,0.0552559,1163.71,364.31,0.5
184,0.0581169,197.363,377.65,0.5
185,0.0372925,124.113,391.482,0.5
186,0.0476952,332.232,405.824,0.5
187,0.0481853,1580.04,420.7,0.5
188,0.0498047,174.109,436.123,0.5
189,0.0580196,450.948,452.109,0.5
190,0.0617313,1772.74,468.687,0.5
191,0.0378742,79.4535,485.879,0.5
192,0.0332775,269.049,503.706,0.5
193,0.0471573,1755.6,522.191,0.5
194,0.05196,3845.6,541.365,0.5
195,0.0554562,807.379,561.236,0.5
196,0.0503597,311.206,581.842,0.5
197,0.0374451,185.678,603.204,0.5
198,0.0438709,301.781,625.358,0.5
199,0.0419407,265.139,648.335,0.5
200,0.0442677,165.473,672.165,0.5
201,0.0322418,255.57,696.875,0.5
202,0.0361137,208.854,722.498,0.5
203,0.0498829,527.256,749.069,0.5
204,0.0490131,138.918,776.616,0.5
205,0.0310993,149.306,805.175,0.5
206,0.0317669,623.3,834.796,0.5
207,0.0258923,233.007,865.519,0.5
208,0.0335407,2030.22,897.368,0.5
209,0.0290527,121.188,930.394,0.5
210,0.0239162,174.625,964.639,0.5
211,0.0314522,1317.8,1000.14,0.5
212,0.0301876,495.921,1036.98,0.5
213,0.0228882,157.104,1075.17,0.5
214,0.0297108,390.852,1114.79,0.5
215,0.0364475,660.766,1155.87,0.5
216,0.0376492,525.685,1198.48,0.5
217,0.0513382,1278.88,1242.65,0.5
218,0.0411034,158.963,1288.45,0.5
219,0.0321903,112.523,1335.95,0.5
220,0.026619,263.517,1385.21,0.5
221,0.0194759,163.697,1436.3,0.5
222,0.0282516,765.354,1489.28,0.5
223,0.0293961,823.113,1544.24,0.5
224,0.0239964,458.838,1601.22,0.5
225,0.026001,423.642,1660.29,0.5
226,0.0268364,260.95,1721.56,0.5
227,0.0244808,250.554,1785.1,0.5
228,0.0191154,206.039,1851.01,0.5
229,0.0198517,1684.85,1919.36,0.5
230,0.0205669,405.223,1990.22,0.5
231,0.0209541,1350.97,2063.72,0.5
232,0.0240345,588.201,2139.94,0.5
233,0.0212326,3511.2,2218.98,0.5
234,0.0171738,290.78,2300.96,0.5
235,0.0240803,3844.97,2385.98,0.5
236,0.0183983,1118.18,2474.16,0.5
237,0.0216274,1258.07,2565.61,0.5
238,0.0250072,1441.39,2660.44,0.5
239,0.0243587,733.871,2758.8,0.5
240,0.0217285,6006.94,2860.83,0.5
241,0.023386,2192.51,2966.64,0.5
242,0.0210247,3993.51,3076.38,0.5
243,0.0151405,225.982,3190.19,0.5
244,0.0177917,1275.82,3308.22,0.5
