step,energy,beta,lambda,delta
0,3.14273,33.5088,1,0.3
1,3.09758,30.8677,0.990832,0.3
2,3.08735,25062.7,0.987449,0.3
3,3.05571,51.6056,0.986959,0.3
4,3.01609,23.2561,0.987555,0.3
5,2.99281,36.3822,0.989509,0.3
6,2.95184,98.9533,0.992587,0.3
7,2.93855,61.3953,0.996247,0.3
8,2.95599,55.5865,1.00038,0.3
9,2.78556,14.473,1.00509,0.3
10,2.83009,17.492,1.01036,0.3
11,2.86575,38.6956,1.01587,0.3
12,2.89911,1166.64,1.02158,0.3
13,2.8915,42.5872,1.02758,0.3
14,2.8084,20.1994,1.03383,0.3
15,2.73491,24.9865,1.0403,0.3
16,2.5437,14.9522,1.04686,0.3
17,2.548,20.9856,1.05359,0.3
18,2.60128,962.681,1.06065,0.3
19,2.68227,50.5647,1.06793,0.3
20,2.62965,24.3693,1.07542,0.3
21,2.71318,66.777,1.08294,0.3
22,2.72271,16.9165,1.09064,0.3
23,2.66939,22.6996,1.09842,0.3
24,2.5645,13.059,1.10635,0.3
25,2.60264,30.4267,1.11434,0.3
26,2.71094,41.4191,1.1225,0.3
27,2.76388,114.597,1.13075,0.3
28,2.75946,14251.3,1.13915,0.3
29,2.92973,197.584,1.14778,0.3
30,2.88368,88.907,1.15657,0.3
31,2.87137,180.204,1.1655,0.3
32,2.8495,74.888,1.17454,0.3
33,2.88308,1441.83,1.18372,0.3
34,2.96115,56.7761,1.19298,0.3
35,2.80564,25.5088,1.20234,0.3
36,2.86641,94.4921,1.2118,0.3
37,2.88819,39.074,1.22132,0.3
38,2.62446,10.4163,1.23107,0.3
39,2.61909,27.4315,1.24094,0.3
40,2.69096,34.4144,1.25087,0.3
41,2.64385,14.6515,1.26084,0.3
42,2.75878,56.4778,1.27089,0.3
43,2.83645,69.7329,1.28102,0.3
44,2.80007,40.5828,1.29129,0.3
45,2.88845,196.025,1.30163,0.3
46,2.8863,57.3102,1.31212,0.3
47,2.89627,45.1897,1.3227,0.3
48,2.84756,96.0241,1.33351,0.3
49,2.88202,91.0985,1.34442,0.3
50,2.78997,89.4761,1.35545,0.3
51,2.77377,32.6165,1.36653,0.3
52,2.74945,7416.5,1.3777,0.3
53,2.71915,30.8271,1.38895,0.3
54,2.82374,74.6191,1.40028,0.3
55,2.87202,151.795,1.41177,0.3
56,2.83835,111.521,1.42342,0.3
57,2.78617,297.632,1.43523,0.3
58,2.71746,78.4156,1.44721,0.3
59,2.68217,39.4754,1.4593,0.3
60,2.71974,34.4971,1.47148,0.3
61,2.6984,29.4851,1.4838,0.3
62,2.62573,90.9966,1.4962,0.3
63,2.69918,30.1791,1.50871,0.3
64,2.60561,21.2247,1.5214,0.3
65,2.68944,258.984,1.53413,0.3
66,2.56238,14.0705,1.54701,0.3
67,2.62911,3444.63,1.56005,0.3
68,2.67552,51.1283,1.57322,0.3
69,2.64549,66.3601,1.5865,0.3
70,2.64752,20.7714,1.5999,0.3
71,2.63101,56.2784,1.61346,0.3
72,2.59275,23.7196,1.62718,0.3
73,2.57016,16.2678,1.641,0.3
74,2.6284,76.7045,1.65492,0.3
75,2.67114,60.492,1.66896,0.3
76,2.66661,59.0216,1.68315,0.3
77,2.69461,103.51,1.69749,0.3
78,2.71057,34.9535,1.71197,0.3
79,2.52536,34.9463,1.72662,0.3
80,2.58149,55.3794,1.74135,0.3
81,2.6485,81.612,1.75623,0.3
82,2.60917,29.2682,1.77128,0.3
83,2.61088,85.1696,1.7865,0.3
84,2.64216,28.4781,1.80189,0.3
85,2.61947,3598.11,1.81744,0.3
86,2.59328,27.8888,1.83308,0.3
87,2.63422,83.9163,1.84886,0.3
88,2.65378,42.795,1.86474,0.3
89,2.68039,62.5191,1.88079,0.3
90,2.69891,179.839,1.89694,0.3
91,2.64367,27.0634,1.9132,0.3
92,2.57793,16.9109,1.9296,0.3
93,2.65526,139.09,1.94618,0.3
94,2.61808,17.4551,1.96289,0.3
95,2.56192,43.0538,1.97974,0.3
96,2.57243,192.205,1.99674,0.3
97,2.56521,15800.4,2.0139,0.3
98,2.59709,95.6135,2.03119,0.3
99,2.6176,97.1016,2.04864,0.3
100,2.58777,47.9074,2.06624,0.3
101,2.46041,16.9247,2.08402,0.3
102,2.3179,15.751,2.102,0.3
103,2.43634,89.4473,2.12014,0.3
104,2.4745,329.026,2.13842,0.3
105,2.39322,17.9111,2.15696,0.3
106,2.44167,49.5029,2.17563,0.3
107,2.3074,15.2336,2.19455,0.3
108,2.23262,46.5183,2.21366,0.3
109,2.15619,14.6199,2.23293,0.3
110,2.24342,69.4544,2.25238,0.3
111,2.06124,8.67613,2.27205,0.3
112,2.16606,22.1468,2.29185,0.3
113,2.14787,13.5908,2.31184,0.3
114,2.21098,16.1803,2.33203,0.3
115,2.27134,38.9593,2.35238,0.3
116,2.30379,29.5464,2.37291,0.3
117,2.39713,55.8142,2.39361,0.3
118,2.43616,35.267,2.41449,0.3
119,2.33169,26.4348,2.43558,0.3
120,2.2635,24.6627,2.45685,0.3
121,2.27402,37.1745,2.47832,0.3
122,2.16123,14.088,2.50001,0.3
123,2.1362,23.1283,2.52186,0.3
124,2.19519,1056.42,2.5439,0.3
125,2.28456,42.3482,2.56614,0.3
126,2.17316,25.0464,2.58858,0.3
127,2.16348,18.0884,2.61124,0.3
128,2.25454,106.372,2.63415,0.3
129,2.28686,39.6798,2.65728,0.3
130,2.31956,20.252,2.68061,0.3
131,2.38976,66.925,2.70415,0.3
132,2.26018,15.6819,2.72789,0.3
133,2.27217,42.2185,2.75185,0.3
134,2.34495,55.9216,2.77604,0.3
135,2.22691,24.4097,2.80043,0.3
136,2.1899,22.0749,2.82502,0.3
137,2.19171,54.4111,2.84985,0.3
138,2.06898,20.6579,2.87487,0.3
139,2.13748,44.0439,2.90011,0.3
140,2.12059,18.4163,2.92556,0.3
141,2.1918,38.9371,2.95116,0.3
142,2.19246,110.728,2.97699,0.3
143,2.24648,91.9846,3.00306,0.3
144,2.05175,11.5638,3.02935,0.3
145,2.15129,50.4855,3.05585,0.3
146,2.08346,31.0829,3.08262,0.3
147,2.03006,43.349,3.10959,0.3
148,2.10722,25.931,3.13682,0.3
149,2.03239,22.8853,3.16433,0.3
150,2.03813,22.4077,3.1921,0.3
151,2.0362,47.1198,3.22009,0.3
152,2.00468,35.5676,3.24826,0.3
153,1.97866,30.4197,3.27668,0.3
154,1.98479,16.9058,3.30538,0.3
155,1.95916,946.377,3.33431,0.3
156,2.03562,78.7133,3.36355,0.3
157,1.88661,19.673,3.39305,0.3
158,1.78085,41.5198,3.42287,0.3
159,1.81761,37.8475,3.45293,0.3
160,1.83025,18.9552,3.48326,0.3
161,1.87247,104.268,3.51383,0.3
162,1.92106,231.667,3.54468,0.3
163,1.80009,15.8938,3.5759,0.3
164,1.85061,30.5694,3.60731,0.3
165,1.7926,86.1187,3.639,0.3
166,1.90919,222.02,3.671,0.3
167,1.94003,101.187,3.70324,0.3
168,2.01019,2195.82,3.73578,0.3
169,1.89035,14.4419,3.7686,0.3
170,1.99955,33.3778,3.80168,0.3
171,2.04912,48.2164,3.83503,0.3
172,2.04236,183.214,3.86872,0.3
173,2.03557,43.7151,3.90269,0.3
174,2.04715,48.2487,3.937,0.3
175,2.04449,103.808,3.97162,0.3
176,2.08897,1840.04,4.00654,0.3
177,2.08029,51.4774,4.04177,0.3
178,2.0315,53.8886,4.07735,0.3
179,2.06614,126.33,4.11326,0.3
180,2.16839,94.9897,4.14942,0.3
181,2.07406,17.2089,4.18594,0.3
182,2.14142,136.368,4.22282,0.3
183,2.20888,67.7558,4.26005,0.3
184,2.22556,35.3739,4.29765,0.3
185,2.22364,40.4198,4.33561,0.3
186,2.11866,43.9144,4.37394,0.3
187,2.0488,30.6523,4.41266,0.3
188,2.11077,245.902,4.45174,0.3
189,1.96933,19.5128,4.49123,0.3
190,1.9273,37.4884,4.53104,0.3
191,1.78176,19.4124,4.5713,0.3
192,1.8295,129.792,4.61187,0.3
193,1.83228,18.7817,4.65278,0.3
194,1.8208,39.5461,4.69405,0.3
195,1.82486,38.0622,4.73574,0.3
196,1.79735,16.5677,4.77787,0.3
197,1.84742,96.8062,4.82036,0.3
198,1.80676,33.1643,4.86321,0.3
199,1.83429,220.308,4.90641,0.3
200,1.83783,28.7475,4.94996,0.3
201,1.79582,45.848,4.99396,0.3
202,1.80602,40.7404,5.0383,0.3
203,1.85768,60.9399,5.083,0.3
204,1.78495,48.2584,5.12816,0.3
205,1.70178,18.3917,5.17376,0.3
206,1.71017,333.555,5.2198,0.3
207,1.72505,30.0851,5.26626,0.3
208,1.61091,14.5002,5.31316,0.3
209,1.55163,29.0094,5.36048,0.3
210,1.59256,222.228,5.4082,0.3
211,1.47459,49.4029,5.45633,0.3
212,1.41363,87.0904,5.50486,0.3
213,1.36638,14.7258,5.55383,0.3
214,1.34143,43.8984,5.60326,0.3
215,1.38298,36.8742,5.65304,0.3
216,1.39898,30.6084,5.70326,0.3
217,1.40924,53.339,5.75386,0.3
218,1.41391,106.344,5.80497,0.3
219,1.39529,46.2698,5.85658,0.3
220,1.39413,42.1563,5.90864,0.3
221,1.38032,69.0669,5.96121,0.3
222,1.50036,603.168,6.01419,0.3
223,1.56171,37.408,6.06764,0.3
224,1.50752,34.7526,6.12164,0.3
225,1.59109,154.763,6.17609,0.3
226,1.53279,543.212,6.23104,0.3
227,1.54681,105.444,6.28652,0.3
228,1.56028,371.811,6.3425,0.3
229,1.58047,29.5905,6.39892,0.3
230,1.61258,85.1334,6.45579,0.3
231,1.53786,62.9329,6.51326,0.3
232,1.40625,12.1503,6.57135,0.3
233,1.38063,23.0711,6.62998,0.3
234,1.34842,21.5621,6.68912,0.3
235,1.31894,133.966,6.74881,0.3
236,1.27159,19.3815,6.809,0.3
237,1.26388,26.3434,6.8698,0.3
238,1.22948,21.1259,6.93115,0.3
239,1.20778,26.0037,6.99303,0.3
240,1.24216,2523.67,7.05546,0.3
