step,energy,beta,lambda,delta
0,3.38835,3.80503,1,0.9
1,3.81244,24.6545,0.902725,0.9
2,3.89284,13.871,0.846489,0.9
3,3.70582,20.8978,0.837436,0.9
4,3.32689,4.1576,0.838481,0.9
5,3.23477,5.20777,0.838318,0.9
6,3.29671,10.7317,0.854821,0.9
7,1.06393,1.96679,0.888507,0.9
8,1.24121,10.662,0.928719,0.9
9,1.51766,8.08285,0.971835,0.9
10,1.05929,3.04063,1.0225,0.9
11,1.14443,99.9934,1.0782,0.9
12,1.10991,4.77583,1.13787,0.9
13,1.17157,4.09025,1.21299,0.9
14,1.67387,6.25812,1.29291,0.9
15,0.524635,3.02838,1.38194,0.9
16,0.766411,4.04429,1.48283,0.9
17,1.14666,8.41325,1.59369,0.9
18,0.394447,2.54965,1.70657,0.9
19,0.582457,2.89039,1.82878,0.9
20,0.326761,6.12186,1.96665,0.9
21,1.70094,292.6,2.11361,0.9
22,0.256273,2.15716,2.27837,0.9
23,1.00622,7.99956,2.45701,0.9
24,0.461359,8.36586,2.65474,0.9
25,0.603615,10.5716,2.86829,0.9
26,0.528629,15.4914,3.10329,0.9
27,0.390444,6.01254,3.35811,0.9
28,0.583359,2.87487,3.6364,0.9
29,0.735228,31.051,3.94676,0.9
30,0.130312,3.39832,4.27856,0.9
31,0.570887,6.45412,4.64311,0.9
32,1.21021,35.7239,5.02439,0.9
33,0.95796,5.56379,5.43927,0.9
34,0.0904179,4.33112,5.90498,0.9
35,0.230684,6.55524,6.41564,0.9
36,0.0692959,3.13135,6.9735,0.9
37,0.279394,11.6077,7.57556,0.9
38,0.47213,7.38478,8.24675,0.9
39,0.194344,10.1297,8.97394,0.9
40,0.335564,19.5854,9.77364,0.9
41,0.0599804,53.9943,10.6386,0.9
42,0.0903149,9.32944,11.5882,0.9
43,0.158442,18.5983,12.6251,0.9
44,0.146671,15.4113,13.7673,0.9
45,0.0636082,7.08373,15.0125,0.9
46,0.364948,25.0275,16.3689,0.9
47,0.0881519,19.4089,17.8499,0.9
48,0.196407,65.0565,19.4806,0.9
49,0.0571613,13.331,21.2632,0.9
50,0.208284,400.23,23.2095,0.9
51,0.0990143,61.3009,25.3316,0.9
52,0.095192,107.757,27.6681,0.9
53,0.303286,77.1294,30.2502,0.9
54,0.169783,28.377,33.0508,0.9
55,0.0681763,17.7113,36.1112,0.9
56,0.112982,19.5812,39.4647,0.9
57,0.208712,449.763,43.1185,0.9
58,0.0625896,84.2392,47.1434,0.9
59,0.0791836,21.6299,51.5653,0.9
60,0.0621204,12.5581,56.4121,0.9
61,0.0479641,43.673,61.7169,0.9
62,0.0202427,36.9784,67.5257,0.9
63,0.0644207,66.2308,73.8791,0.9
64,0.0472965,24.4247,80.8585,0.9
65,0.0392494,164.986,88.5182,0.9
66,0.0135593,38.423,96.9118,0.9
67,0.0349083,24.8841,106.131,0.9
68,0.0548038,37.0935,116.23,0.9
69,0.0412998,121.931,127.281,0.9
70,0.0317745,31.2843,139.411,0.9
71,0.067915,390.661,152.712,0.9
72,0.145365,86.2769,167.25,0.9
73,0.0829124,49.818,183.231,0.9
74,0.0423832,64.1957,200.817,0.9
75,0.0192051,33.4724,220.142,0.9
76,0.0552998,865.628,241.345,0.9
77,0.0122623,61.4323,264.635,0.9
78,0.0136642,66.9109,290.208,0.9
79,0.021307,230.904,318.283,0.9
80,0.0315552,228.317,349.063,0.9
81,0.022089,162.072,382.869,0.9
82,0.0204506,324.875,420.022,0.9
83,0.0285587,153.725,460.852,0.9
84,0.0182667,307.583,505.726,0.9
85,0.0226841,420.962,555.066,0.9
86,0.0172462,121.531,609.264,0.9
87,0.018095,2784.74,668.714,0.9
88,0.0172062,1426.6,734.074,0.9
89,0.014061,483.007,805.945,0.9
90,0.0173664,1157.36,884.913,0.9
91,0.0130348,1247.17,971.724,0.9
92,0.015789,409.173,1067.14,0.9
93,0.0107746,144.039,1172.09,0.9
94,0.0107899,42754,1287.48,0.9
95,0.00946999,945.428,1414.35,0.9
